Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-08-04),1601,2,,,,,,,,,,,,
2024,1573,2,,,,,,,,,,,,
2021,425,93,318,1391,311,1355,,,,,,,,
2020,305,151,263,1412,253,1380,,,,,430,101,,
2019,298,134,336,1406,318,1372,355,1319,,,412,98,,
2018,262,159,347,1340,336,1303,331,1288,225,1369,644,15,,
2017,215,240,238,1498,215,1467,,,,,283,206,,
2016,871,17,,,,,,,,,,,,
2015,293,170,280,1434,247,1414,300,1342,,,249,272,,
2014,376,113,342,1328,331,1286,330,1287,214,1380,126,590,,
2013,507,68,,,,,,,,,316,196,,
2012,1447,2,,,,,,,,,1296,10,,
2011,,,,,,,,,,,750,45,,
