Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2011,1201,3,,,,,,,,,838,25,,
2010,173,338,163,1552,155,1534,156,1491,147,1460,328,179,,
2009,131,463,163,1537,156,1512,168,1478,152,1470,,,,
2008,132,252,165,1552,160,1524,166,1471,,,,,,
2007,119,295,137,1600,143,1547,126,1551,134,1479,,,,
2006,82,326,146,1584,141,1552,135,1539,150,1436,,,,
2005,81,426,103,1661,90,1634,119,1577,109,1520,,,,
2004,108,347,120,1647,106,1626,126,1566,106,1533,,,,
2003,117,302,150,1546,204,1332,118,1556,134,1483,,,,
2002,240,114,,,,,,,,,,,,
2001,329,53,,,,,,,,,,,,
2000,541,18,,,,,,,,,,,,
1999,568,14,,,,,,,,,,,,
1998,801,6,,,,,,,,,,,,
1997,898,3,,,,,,,,,,,,
