Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,6,3,3,50.0%,7-8,46.7%,78-78,50.0%,2-1,66.7%,6,72.4%,27.3%,4.2%,5.1%,61.6%,67.2%,49.5%,60.4%,39.9%,50.0%,1.01,QF (Playford)
2017,23,8,15,34.8%,19-33,36.5%,225-266,45.8%,3-7,30.0%,23,70.4%,21.7%,5.0%,4.6%,58.9%,66.7%,47.8%,59.0%,37.0%,48.0%,0.90,SF (Kaohsiung)
2016,35,20,15,57.1%,45-35,56.3%,410-366,52.8%,7-6,53.8%,35,77.7%,28.0%,6.4%,4.4%,58.3%,71.6%,50.2%,62.7%,40.3%,51.4%,1.08,SF (2x)
2015,3,0,3,0.0%,2-6,25.0%,34-41,45.3%,0-2,0.0%,3,75.7%,16.7%,5.9%,3.9%,61.8%,62.4%,55.7%,59.8%,38.5%,48.9%,0.96,R32 (3x)
2014,5,4,1,80.0%,8-3,72.7%,65-50,56.5%,3-1,75.0%,5,91.2%,18.5%,12.4%,2.0%,64.4%,75.7%,55.3%,68.4%,35.3%,53.0%,1.12,F (Nottingham)
2013,2,1,1,50.0%,2-2,50.0%,20-20,50.0%,0-0,-,2,75.0%,25.0%,5.5%,7.1%,61.4%,76.9%,36.7%,61.4%,40.3%,50.2%,1.04,R16 (Nottingham)
2012,21,15,6,71.4%,32-16,66.7%,267-213,55.6%,8-4,66.7%,21,76.2%,33.6%,6.4%,2.8%,63.7%,70.4%,49.3%,62.7%,42.4%,52.6%,1.14,W (2x)
2011,14,6,8,42.9%,15-19,44.1%,154-171,47.4%,3-3,50.0%,14,74.8%,20.0%,6.1%,4.1%,62.6%,68.1%,46.3%,59.9%,36.3%,48.4%,0.91,QF (3x)
2010,40,27,13,67.5%,61-33,64.9%,515-408,55.8%,6-7,46.2%,40,79.3%,32.1%,6.9%,4.2%,61.6%,70.3%,50.8%,62.8%,41.9%,52.4%,1.13,W (2x)
2009,43,24,19,55.8%,53-43,55.2%,489-448,52.2%,7-8,46.7%,0,,,,,,,,,,,,F (Melbourne)
2008,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,0,,,,,,,,,,,,R32 (Moncton)
2007,1,0,1,0.0%,1-2,33.3%,11-17,39.3%,0-0,-,0,,,,,,,,,,,,R32 (Caloundra)
2006,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,R32 (Caloundra)
Career,195,108,87,55.4%,245-204,54.6%,2282-2103,52.0%,39-39,50.0%,149,76.7%,27.6%,6.4%,4.1%,61.0%,69.8%,49.6%,61.9%,40.0%,51.0%,1.05,
