Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,9,1,8,11.1%,5,0,5,0.0%,2010,2018,R64,8,0.82,5.6%,5.1%,57.4%,64.5%,49.0%,57.9%,34.5%,52.2%,28.9%
Roland Garros,3,Clay,4,1,3,25.0%,2,1,1,50.0%,2013,2015,R64,4,0.79,2.4%,2.4%,60.6%,62.2%,38.8%,53.0%,37.2%,49.0%,51.9%
Wimbledon,5,Grass,6,1,5,16.7%,4,2,2,50.0%,2011,2015,R64,6,0.85,6.2%,3.0%,60.4%,67.7%,45.1%,58.7%,35.2%,58.7%,41.7%
US Open,4,Hard,4,0,4,0.0%,2,1,1,50.0%,2011,2014,R128,4,0.78,3.9%,2.3%,64.3%,58.7%,55.1%,57.4%,33.2%,66.7%,33.3%
Davis Cup,3,,4,2,2,50.0%,2,1,1,50.0%,2011,2013,,0,,,,,,,,,,
Washington,7,Hard,15,8,7,53.3%,6,4,2,66.7%,2011,2017,QF,15,1.05,6.2%,3.8%,59.1%,71.1%,51.7%,63.2%,38.7%,63.5%,35.8%
Indian Wells Masters,6,Hard,11,5,6,45.5%,5,2,3,40.0%,2010,2015,R32,11,1.04,4.9%,4.2%,54.9%,70.0%,52.1%,61.9%,39.6%,56.2%,53.7%
Delray Beach,5,Hard,12,7,5,58.3%,5,3,2,60.0%,2011,2015,F,12,1.01,6.5%,4.8%,54.0%,70.8%,51.0%,61.7%,38.8%,70.3%,40.8%
Brisbane,4,Hard,7,2,5,28.6%,3,2,1,66.7%,2011,2015,QF,7,0.78,6.4%,3.3%,57.7%,66.2%,48.2%,58.5%,32.5%,60.0%,28.6%
Atlanta,4,Hard,7,3,4,42.9%,3,0,3,0.0%,2011,2014,QF,7,1.04,8.1%,5.4%,59.7%,71.0%,46.4%,61.1%,40.6%,47.5%,44.4%
Sydney,4,Hard,6,2,4,33.3%,0,0,0,-,2010,2015,QF,6,0.90,8.1%,4.9%,60.5%,72.5%,46.7%,62.3%,33.8%,55.6%,41.7%
