Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2018 Cuernavaca CH R32,L vs Garin,83% (5/6),14% (1/7),0/0,0/0,60% (6/10),0/2,0/1,- (0/0),- (0/0)
2018 Launceston CH R16,L vs Sarkissian,75% (6/8),100% (2/2),0/0,0/0,33% (2/6),5/7,5/6,- (0/0),- (0/0)
2018 Launceston CH R32,W vs Klein,53% (10/19),60% (6/10),2/2,1/1,57% (8/14),0/1,0/0,67% (4/6),50% (3/6)
2018 Playford CH QF,L vs Schnur,72% (13/18),27% (4/15),1/3,0/2,62% (8/13),2/4,0/1,50% (5/10),45% (5/11)
2018 Playford CH R16,W vs Kamke,78% (7/9),56% (5/9),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2018 Playford CH R32,W vs Medvedev,67% (14/21),33% (3/9),2/3,1/1,80% (8/10),1/2,0/0,- (0/0),- (0/0)
2017 Hua Hin CH R16,L vs Ebden,50% (5/10),0% (0/1),0/0,0/0,63% (5/8),1/3,0/1,- (0/0),- (0/0)
2017 Kobe CH R32,L vs Robert,33% (3/9),25% (1/4),0/0,0/0,62% (8/13),0/2,0/1,- (0/0),- (0/0)
2017 Shenzhen CH R32,L vs Jung,75% (9/12),17% (1/6),0/0,0/0,67% (4/6),3/5,1/2,50% (3/6),20% (1/5)
2017 Ho Chi Minh City CH R16,L vs Youzhny,67% (2/3),0% (0/2),0/0,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2017 Ho Chi Minh City CH R32,W vs Trinh,60% (9/15),70% (7/10),2/2,1/1,63% (5/8),1/2,0/0,- (0/0),- (0/0)
2017 Ningbo CH R16,L vs Daniel,41% (7/17),25% (1/4),0/0,0/0,63% (5/8),3/5,2/3,- (0/0),- (0/0)
2017 Ningbo CH R32,W vs Nagal,62% (8/13),44% (4/9),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2017 Kaohsiung CH SF,L vs Copil,80% (8/10),0% (0/3),0/2,0/0,33% (1/3),1/3,0/1,33% (2/6),50% (3/6)
2017 Kaohsiung CH QF,W vs Begemann,73% (8/11),57% (4/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2017 Kaohsiung CH R16,W vs Saville,85% (11/13),100% (7/7),2/5,1/1,33% (2/6),2/3,0/0,57% (8/14),54% (7/13)
2017 Kaohsiung CH R32,W vs Hsu,88% (7/8),50% (5/10),2/4,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2017 Gwangju CH QF,L vs Yang,57% (4/7),50% (3/6),0/1,0/0,50% (5/10),4/6,2/3,40% (2/5),20% (1/5)
2017 Gwangju CH R32,W vs Kim,56% (9/16),43% (3/7),2/7,1/6,56% (5/9),0/1,0/0,- (0/0),- (0/0)
2017 Zhangjiagang CH R32,L vs Kudryavtsev,72% (13/18),13% (1/8),1/3,0/0,77% (10/13),4/6,4/5,64% (7/11),33% (4/12)
2018 (6 matches),,67.9%,40.4%,70.0%,60.0%,61.8%,50.0%,62.5%,56.3%,47.1%
2017 (21 matches),,62.0%,40.9%,45.9%,50.0%,59.2%,45.6%,48.1%,50.0%,36.5%
2016 (38 matches),,64.5%,42.4%,66.2%,84.6%,62.6%,51.9%,44.8%,64.0%,37.2%
2015 (11 matches),,57.5%,26.6%,52.6%,37.5%,58.1%,45.7%,38.5%,75.0%,16.7%
2014 (46 matches),,64.1%,39.6%,58.3%,68.6%,62.8%,55.3%,42.1%,66.9%,33.9%
Career (208 matches),,62.7%,40.6%,56.7%,62.4%,60.7%,49.4%,43.2%,62.1%,36.3%
