Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,11,6,5,54.5%,12-11,52.2%,109-88,55.3%,0-0,-,1,55.6%,20.0%,5.3%,1.8%,63.2%,55.6%,52.4%,54.4%,38.5%,45.9%,0.84
Clay,10,4,6,40.0%,9-12,42.9%,93-105,47.0%,1-1,50.0%,1,37.5%,22.2%,0.0%,3.6%,62.5%,45.7%,42.9%,44.6%,38.9%,41.8%,0.70
Finals,1,1,0,100.0%,1-0,100.0%,6-2,75.0%,0-0,-,0,,,,,,,,,,,
Semi-finals,1,1,0,100.0%,2-0,100.0%,12-2,85.7%,0-0,-,0,,,,,,,,,,,
Quarter-finals,3,1,2,33.3%,3-4,42.9%,32-37,46.4%,1-1,50.0%,0,,,,,,,,,,,
vs Righties,10,3,7,30.0%,8-15,34.8%,97-117,45.3%,1-0,100.0%,2,47.1%,21.1%,2.7%,2.7%,62.8%,50.7%,47.6%,49.6%,38.7%,44.0%,0.77
vs Lefties,2,0,2,0.0%,0-4,0.0%,11-24,31.4%,0-0,-,0,,,,,,,,,,,
