Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2016,1030,10,,,,,,,,,930,35,,
2015,279,183,155,1595,128,1579,127,1583,166,1492,729,65,,
2014,122,455,110,1671,107,1618,81,1669,122,1542,878,38,,
2013,80,636,101,1689,129,1581,62,1722,108,1564,240,270,121,1507
2012,62,753,85,1720,98,1628,61,1727,95,1595,283,235,,
2011,90,600,98,1696,106,1624,75,1675,76,1613,107,735,106,1581
2010,51,915,72,1750,79,1664,59,1732,53,1651,480,100,,
2009,48,905,65,1761,74,1670,45,1770,67,1627,135,510,90,1591
2008,50,743,51,1809,51,1735,35,1787,59,1649,145,405,,
2007,76,517,60,1769,75,1671,37,1776,,,265,209,,
2006,646,30,,,,,,,,,1420,6,,
2005,35,856,47,1805,71,1691,28,1805,60,1649,183,299,,
2004,92,452,124,1653,157,1527,77,1686,86,1579,743,37,,
2003,70,515,98,1688,162,1527,84,1659,69,1612,771,32,,
2002,172,211,178,1577,,,144,1572,,,247,174,,
2001,212,176,287,1431,316,1314,240,1442,,,512,65,,
2000,477,45,,,,,,,,,648,42,,
1999,1231,2,,,,,,,,,1087,10,,
