Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2003,293,113,130,1626,134,1561,95,1632,,,650,47,,
2002,120,329,106,1693,115,1607,76,1703,132,1507,190,236,119,1429
2001,54,701,54,1828,77,1676,27,1841,,,248,205,,
2000,101,404,98,1718,100,1652,71,1708,112,1540,76,787,,
1999,84,546,90,1740,92,1671,72,1724,,,253,213,,
1998,44,926,44,1843,62,1730,35,1838,,,172,381,,
1997,57,739,66,1798,82,1712,49,1791,,,211,291,,
1996,55,787,73,1807,66,1756,39,1832,92,1601,65,983,,
1995,22,,53,1837,50,1777,27,1853,83,1611,108,651,,
1994,24,,29,1902,49,1790,23,1902,69,1648,231,238,,
1993,60,,61,1836,89,1705,41,1828,,,228,236,,
1992,262,,,,,,,,,,308,117,,
1991,632,,,,,,,,,,332,105,,
1990,861,,,,,,,,,,707,12,,
