Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2003,9,3,6,33.3%,10-14,41.7%,102-124,45.1%,2-1,66.7%,0,,,,,,,,,,,,QF (Cagliari)
2002,7,3,4,42.9%,7-8,46.7%,70-75,48.3%,3-1,75.0%,0,,,,,,,,,,,,QF (Szczecin)
2001,16,12,4,75.0%,25-12,67.6%,201-156,56.3%,4-1,80.0%,0,,,,,,,,,,,,W (Braunschweig)
2000,22,17,5,77.3%,36-19,65.5%,291-231,55.7%,4-4,50.0%,0,,,,,,,,,,,,W (2x)
1998,1,0,1,0.0%,1-1,50.0%,10-10,50.0%,0-1,0.0%,0,,,,,,,,,,,,R32 (Venice)
1997,43,30,13,69.8%,57-27,67.9%,425-314,57.5%,5-5,50.0%,0,,,,,,,,,,,,W (Geneva)
1995,5,5,0,100.0%,10-0,100.0%,60-22,73.2%,0-0,-,0,,,,,,,,,,,,W (Prostejov)
1994,5,5,0,100.0%,9-0,100.0%,54-28,65.9%,1-1,50.0%,0,,,,,,,,,,,,W (Monte Carlo)
1993,32,20,12,62.5%,41-26,61.2%,331-272,54.9%,4-5,44.4%,0,,,,,,,,,,,,W (2x)
1992,7,3,4,42.9%,6-9,40.0%,67-76,46.9%,1-0,100.0%,0,,,,,,,,,,,,R16 (3x)
1991,4,1,3,25.0%,2-6,25.0%,27-42,39.1%,0-0,-,0,,,,,,,,,,,,R16 (Prague)
1990,3,0,3,0.0%,0-6,0.0%,13-37,26.0%,0-0,-,0,,,,,,,,,,,,R32 (3x)
Career,154,99,55,64.3%,204-128,61.4%,1651-1387,54.3%,24-19,55.8%,0,,,,,,,,,,,,
