Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2014 Roland Garros R128,L vs Haase,13% (2/15),0% (0/2),0/4,33% (5/15),20% (1/5),0/0,0/0,2/2,0/0,1/1
2014 Roland Garros R128,L vs Haase,13% (2/15),0% (0/2),0/4,33% (5/15),20% (1/5),0/0,0/0,2/2,0/0,1/1
2014 Dusseldorf R16,L vs Vesely,11% (1/9),0% (0/1),0/2,40% (4/10),25% (1/4),0/0,0/0,2/3,0/0,2/2
2014 Dusseldorf R32,W vs Sela,75% (6/8),83% (5/6),0/1,25% (2/8),50% (1/2),3/4,1/2,0/0,0/0,0/0
2014 Munich R32,L vs Delbonis,0% (0/10),- (0/0),0/2,40% (4/10),50% (2/4),0/0,0/0,0/0,0/0,0/0
2014 Barcelona R64,L vs Ramos,10% (1/10),100% (1/1),0/3,30% (3/10),0% (0/3),0/1,0/0,2/2,0/0,1/1
2014 Indian Wells R64,L vs Isner,0% (0/11),- (0/0),0/1,40% (4/10),75% (3/4),0/0,0/0,1/1,0/0,1/1
2014 Indian Wells R128,W vs Goffin,41% (7/17),71% (5/7),2/4,47% (8/17),25% (2/8),2/5,0/1,1/2,0/1,1/1
2014 Dubai R32,W vs Golubev,36% (4/11),100% (4/4),2/3,27% (3/11),0% (0/3),2/4,1/2,0/0,1/2,0/0
2014 Marseille R16,L vs Tsonga,17% (2/12),50% (1/2),1/1,17% (2/12),50% (1/2),1/1,0/0,2/2,0/0,2/2
2014 Marseille R32,W vs Sijsling,40% (4/10),75% (3/4),0/1,30% (3/10),67% (2/3),3/3,2/2,0/0,1/1,0/0
2014 Montpellier R16,L vs Olivetti,17% (3/18),67% (2/3),0/2,33% (6/18),50% (3/6),2/2,0/1,2/3,0/1,0/1
2014 Montpellier R32,W vs Benneteau,17% (2/12),50% (1/2),0/0,17% (2/12),100% (2/2),1/1,1/1,1/1,1/1,0/0
2014 Australian Open R64,L vs Gasquet,25% (4/16),100% (4/4),1/6,44% (7/16),14% (1/7),2/4,0/2,3/3,0/0,1/1
2014 Australian Open R64,L vs Gasquet,25% (4/16),100% (4/4),1/6,44% (7/16),14% (1/7),2/4,0/2,3/3,0/0,1/1
2014 Australian Open R128,W vs Kubot,52% (12/23),58% (7/12),3/6,39% (9/23),33% (3/9),5/7,3/4,1/1,1/2,0/0
2013 Beijing R32,W vs Lu,45% (5/11),80% (4/5),2/3,36% (4/11),25% (1/4),1/4,1/1,0/0,1/1,0/0
2013 Kuala Lumpur R32,L vs Cuevas,40% (4/10),25% (1/4),0/3,44% (4/9),25% (1/4),0/1,0/0,2/2,0/0,1/1
2013 US Open R64,L vs Dodig,21% (3/14),33% (1/3),1/5,46% (6/13),17% (1/6),0/1,0/0,3/3,0/0,1/1
2013 US Open R128,W vs Williams,50% (11/22),73% (8/11),2/5,32% (7/22),14% (1/7),6/6,1/1,0/1,0/0,0/0
2014 (16 matches),,25.4%,68.5%,21.7%,34.7%,32.4%,63.9%,47.1%,88.0%,50.0%,91.7%
2013 (42 matches),,37.1%,72.4%,29.2%,35.5%,31.3%,75.2%,91.2%,75.4%,76.9%,70.0%
2012 (39 matches),,34.8%,72.0%,21.1%,40.3%,36.5%,78.2%,72.2%,75.0%,85.7%,69.2%
2011 (26 matches),,36.3%,73.8%,18.1%,41.4%,35.0%,71.4%,76.9%,79.3%,66.7%,77.8%
2010 (6 matches),,39.8%,66.7%,20.0%,28.9%,37.5%,88.9%,83.3%,58.3%,100.0%,80.0%
Career (173 matches),,35.2%,71.9%,25.2%,36.3%,33.3%,74.6%,75.0%,75.6%,75.4%,78.0%
