Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2014,250,195,76,1737,51,1751,69,1696,,,259,270,,
2013,53,890,38,1850,24,1827,41,1770,,,349,180,,
2012,44,885,33,1862,29,1832,32,1806,52,1670,417,140,,
2011,41,980,33,1873,29,1835,26,1837,51,1665,,,,
2010,22,1655,15,1946,14,1899,15,1910,37,1712,,,,
2009,6,4930,7,2102,7,2036,6,2032,21,1785,277,225,,
2008,5,2715,9,2014,8,1964,5,1981,37,1720,217,270,,
2007,4,2825,11,1964,8,1928,6,1917,38,1713,,,,
2006,3,2825,6,2013,7,1933,3,1990,59,1633,158,355,71,1608
2005,5,2390,10,1953,17,1858,6,1941,68,1628,45,1095,40,1700
2004,28,1085,53,1805,75,1690,33,1799,134,1516,74,856,56,1647
2003,44,820,101,1687,100,1630,70,1699,139,1504,270,165,,
2002,81,487,68,1770,92,1656,51,1769,84,1597,877,23,,
2001,79,512,80,1742,74,1682,79,1704,79,1603,,,,
2000,133,283,259,1489,221,1461,189,1518,,,869,19,,
1999,652,25,,,,,,,,,1071,11,,
