Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,36,23,13,63.9%,13,4,9,30.8%,2001,2014,QF,36,1.11,4.8%,2.7%,67.7%,67.6%,51.6%,62.4%,41.6%,63.3%,45.7%
Roland Garros,13,Clay,39,26,13,66.7%,11,5,6,45.5%,2001,2014,SF,39,1.14,3.7%,3.3%,67.6%,66.8%,52.3%,62.1%,43.2%,59.5%,43.5%
Wimbledon,11,Grass,18,7,11,38.9%,15,6,9,40.0%,2002,2012,R16,18,0.96,5.6%,4.1%,66.7%,70.4%,50.2%,63.6%,34.8%,58.9%,45.9%
US Open,13,Hard,39,26,13,66.7%,10,6,4,60.0%,2001,2013,SF,39,1.12,4.3%,3.4%,69.0%,68.8%,51.6%,63.4%,40.9%,62.1%,41.6%
Olympics,3,,5,2,3,40.0%,0,0,0,-,2004,2012,R32,4,1.01,5.1%,5.1%,63.4%,70.3%,47.5%,62.0%,38.5%,69.0%,38.5%
Davis Cup,7,,23,14,9,60.9%,10,5,5,50.0%,2003,2010,,0,,,,,,,,,,
Doha,9,Hard,35,25,10,71.4%,7,6,1,85.7%,2001,2013,W,35,1.17,4.2%,3.4%,68.9%,71.4%,49.3%,64.6%,41.5%,65.1%,43.8%
Miami Masters,11,Hard,23,13,10,56.5%,5,3,2,60.0%,2002,2014,W,23,1.05,3.6%,3.8%,66.6%,67.5%,49.8%,61.6%,40.3%,47.2%,47.7%
Rome Masters,11,Clay,20,9,11,45.0%,6,2,4,33.3%,2002,2013,SF,20,1.01,1.8%,4.1%,72.0%,62.8%,46.6%,58.3%,41.9%,61.8%,45.2%
Rotterdam,10,Hard,28,18,10,64.3%,9,1,8,11.1%,2004,2013,SF,28,1.13,5.0%,2.8%,64.4%,72.3%,53.0%,65.4%,38.9%,65.9%,46.9%
Moscow,10,Hard,26,19,7,73.1%,8,4,4,50.0%,2003,2012,W,26,1.23,4.6%,3.9%,66.7%,71.8%,54.0%,65.9%,42.2%,64.0%,45.4%
Cincinnati Masters,10,Hard,23,13,10,56.5%,7,4,3,57.1%,2003,2013,SF,23,1.04,4.7%,3.2%,67.1%,67.6%,51.9%,62.4%,39.2%,60.4%,43.3%
Dubai,10,Hard,21,11,10,52.4%,6,2,4,33.3%,2004,2014,SF,20,1.11,3.5%,3.9%,66.7%,69.3%,51.7%,63.5%,40.5%,64.9%,43.8%
Indian Wells Masters,10,Hard,20,10,10,50.0%,10,5,5,50.0%,2004,2014,R16,18,1.06,2.8%,4.1%,68.9%,65.8%,48.7%,60.5%,41.8%,55.6%,45.6%
