Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2014 Dusseldorf R32,W vs Sela,17.3%,28.8%,59.5%,24.8%,19.4%,29.0%,60.0%,31.9%,6.3%,46.7%,50.0%,15.0%,30.0%,58.8%,-7
2014 Australian Open R64,L vs Gasquet,19.6%,28.0%,44.7%,24.1%,22.2%,29.6%,47.6%,28.1%,22.5%,29.3%,16.7%,12.0%,24.0%,36.4%,-21
2013 Australian Open R64,L vs Federer,27.4%,32.1%,43.2%,30.9%,32.9%,38.6%,44.7%,38.3%,27.8%,64.7%,100.0%,18.2%,21.2%,40.7%,47
2013 Doha F,L vs Gasquet,13.3%,22.1%,51.5%,22.1%,13.3%,22.9%,55.6%,25.3%,29.7%,47.8%,71.4%,13.8%,20.7%,40.0%,-29
2013 Doha SF,W vs Ferrer,34.2%,44.7%,76.0%,42.9%,38.5%,50.0%,75.0%,51.2%,46.2%,53.8%,-,25.0%,33.3%,77.8%,-79
2012 Cincinnati R64,W vs Dolgopolov,47.2%,50.0%,61.1%,50.6%,65.2%,65.2%,62.5%,70.4%,72.7%,25.0%,-,16.7%,25.0%,60.0%,37
2012 Marseille R16,L vs Del Potro,16.5%,30.4%,60.3%,25.7%,23.5%,45.1%,59.0%,37.8%,22.7%,51.7%,66.7%,4.0%,4.0%,62.5%,-79
2012 Rotterdam SF,L vs Federer,15.7%,26.5%,53.7%,19.9%,19.6%,28.6%,57.8%,27.3%,27.3%,60.9%,85.7%,11.9%,26.2%,48.6%,2
2012 Rotterdam QF,W vs Gasquet,18.0%,29.5%,55.3%,23.4%,20.9%,27.9%,58.8%,28.6%,38.1%,45.5%,80.0%,13.3%,40.0%,46.2%,11
2011 Munich F,W vs Mayer,32.6%,41.6%,51.7%,37.8%,39.7%,52.4%,52.6%,47.0%,28.6%,31.4%,40.0%,16.7%,16.7%,50.0%,37
2011 Munich SF,W vs Stepanek,24.4%,28.9%,61.8%,32.2%,23.5%,26.5%,65.4%,33.8%,20.0%,35.7%,0.0%,27.3%,36.4%,50.0%,-79
2011 Munich QF,W vs Cilic,18.2%,26.0%,59.0%,24.7%,24.1%,31.5%,61.0%,33.3%,33.3%,60.0%,66.7%,4.8%,14.3%,55.0%,-70
2011 Doha F,L vs Federer,32.8%,37.7%,41.0%,37.4%,51.4%,57.1%,58.8%,59.4%,47.1%,33.3%,40.0%,8.3%,12.5%,27.3%,-33
2011 Doha SF,W vs Nadal,23.2%,37.5%,53.7%,30.7%,27.0%,43.2%,59.3%,38.4%,40.0%,40.9%,33.3%,17.6%,29.4%,42.9%,56
2011 Doha QF,W vs Karlovic,23.4%,43.8%,65.2%,35.6%,26.0%,50.0%,70.3%,41.6%,54.5%,57.1%,-,18.2%,27.3%,44.4%,51
2011 Doha R16,W vs Nieminen,17.1%,35.5%,56.9%,25.9%,23.9%,47.8%,62.9%,38.5%,73.9%,47.8%,25.0%,8.0%,20.0%,47.8%,-45
2010 Paris R16,W vs Berdych,34.3%,47.5%,53.3%,40.7%,40.9%,54.5%,53.8%,50.5%,34.4%,55.9%,50.0%,25.0%,39.3%,52.4%,115
2010 Cincinnati QF,L vs Federer,23.8%,29.8%,42.9%,26.4%,31.5%,35.2%,32.4%,35.6%,55.6%,59.3%,40.0%,10.3%,20.7%,57.7%,-29
2010 Rotterdam R16,W vs Baghdatis,14.9%,29.8%,61.5%,24.0%,20.8%,41.7%,78.9%,38.7%,54.5%,61.5%,-,9.1%,18.2%,45.0%,-22
2010 Australian Open QF,L vs Federer,15.0%,20.6%,43.5%,19.1%,14.1%,20.3%,50.9%,20.9%,17.9%,61.1%,75.0%,18.9%,24.3%,30.0%,69
Career (74 matches),,22.1%,31.4%,53.2%,28.4%,27.2%,38.3%,56.4%,36.8%,38.7%,50.6%,55.8%,14.1%,20.6%,47.5%,23
