Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,26,15,11,57.7%,6,2,4,33.3%,2002,2012,R16,0,,,,,,,,,,
Roland Garros,12,Clay,25,13,12,52.0%,5,3,2,60.0%,2002,2014,R32,1,0.73,0.0%,5.8%,59.4%,61.0%,53.6%,58.0%,30.9%,25.0%,33.3%
Wimbledon,11,Grass,17,6,11,35.3%,3,1,2,33.3%,2002,2012,R64,0,,,,,,,,,,
US Open,11,Hard,17,6,11,35.3%,3,1,2,33.3%,2002,2012,R64,0,,,,,,,,,,
Olympics,2,,3,1,2,33.3%,0,0,0,-,2004,2008,R32,0,,,,,,,,,,
Fed Cup,8,,13,4,9,30.8%,4,1,3,25.0%,2002,2012,,0,,,,,,,,,,
Indian Wells,11,Hard,21,9,12,42.9%,8,1,7,12.5%,2003,2014,R32,1,0.72,1.6%,6.3%,52.4%,66.7%,33.3%,50.8%,35.6%,42.9%,25.0%
Miami,9,Hard,20,11,9,55.0%,8,4,4,50.0%,2003,2014,QF,1,0.84,1.5%,1.5%,52.2%,51.4%,50.0%,50.7%,41.3%,44.4%,28.6%
Hobart,7,Hard,24,16,8,66.7%,5,4,1,80.0%,2002,2010,F,0,,,,,,,,,,
Budapest,7,Clay,16,9,7,56.3%,6,3,3,50.0%,2002,2010,SF,0,,,,,,,,,,
Luxembourg,7,Hard,15,8,7,53.3%,2,2,0,100.0%,2005,2011,QF,0,,,,,,,,,,
Acapulco,6,Hard,19,14,5,73.7%,4,3,1,75.0%,2004,2014,W,1,0.60,0.0%,7.1%,50.0%,71.4%,35.7%,53.6%,27.7%,60.0%,33.3%
