Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,215,102,113,47.4%,277-297,48.3%,2935-2968,49.7%,63-75,45.7%,211,82.0%,17.8%,11.6%,3.4%,57.3%,74.9%,52.8%,65.4%,34.8%,50.1%,1.01
Clay,428,281,147,65.7%,643-375,63.2%,5406-4552,54.3%,87-82,51.5%,413,82.4%,25.4%,9.6%,3.0%,58.4%,74.5%,52.7%,65.4%,39.1%,52.0%,1.13
Grass,30,14,16,46.7%,44-55,44.4%,516-534,49.1%,10-19,34.5%,30,85.7%,13.7%,14.1%,4.0%,59.5%,77.3%,53.9%,67.8%,31.1%,49.4%,0.97
Carpet,6,3,3,50.0%,7-7,50.0%,71-74,49.0%,3-2,60.0%,6,85.1%,12.0%,12.5%,4.0%,56.2%,78.4%,49.3%,65.7%,32.7%,49.7%,0.95
Grand Slams,112,64,48,57.1%,216-181,54.4%,2097-1984,51.4%,40-52,43.5%,112,83.5%,19.5%,12.0%,3.4%,57.9%,75.5%,53.6%,66.2%,35.3%,50.7%,1.05
Masters,157,79,78,50.3%,181-173,51.1%,1799-1746,50.7%,30-45,40.0%,155,81.2%,20.6%,10.2%,3.1%,57.6%,74.4%,51.4%,64.6%,36.6%,50.5%,1.03
Other Tours,398,249,149,62.6%,549-366,60.0%,4820-4232,53.2%,92-78,54.1%,393,82.5%,23.5%,10.2%,3.2%,58.3%,74.7%,53.0%,65.6%,38.1%,51.7%,1.11
Best of 5,119,68,51,57.1%,233-193,54.7%,2247-2110,51.6%,41-53,43.6%,112,83.5%,19.5%,12.0%,3.4%,57.9%,75.5%,53.6%,66.2%,35.3%,50.7%,1.05
Best of 3,560,332,228,59.3%,738-541,57.7%,6681-6018,52.6%,122-125,49.4%,548,82.1%,22.7%,10.2%,3.2%,58.1%,74.6%,52.5%,65.4%,37.7%,51.3%,1.09
Finals,23,13,10,56.5%,31-27,53.4%,295-281,51.2%,5-7,41.7%,23,79.2%,24.2%,9.5%,2.6%,59.0%,73.9%,49.1%,63.7%,38.9%,50.5%,1.07
Semi-finals,46,23,23,50.0%,49-52,48.5%,483-487,49.8%,5-8,38.5%,45,80.0%,20.0%,9.3%,2.8%,58.7%,74.5%,49.9%,64.3%,36.9%,50.3%,1.03
Quarter-finals,85,46,39,54.1%,102-91,52.8%,989-949,51.0%,18-19,48.6%,85,80.4%,21.5%,9.5%,3.0%,58.3%,73.2%,52.4%,64.5%,36.8%,50.7%,1.04
vs Righties,590,354,236,60.0%,858-631,57.6%,7820-7058,52.6%,142-151,48.5%,572,82.6%,22.3%,10.6%,3.2%,58.3%,74.8%,52.7%,65.5%,37.2%,51.2%,1.08
vs Lefties,88,45,43,51.1%,111-103,51.9%,1096-1065,50.7%,21-27,43.8%,87,81.9%,19.1%,10.5%,3.4%,56.8%,75.3%,53.3%,65.8%,36.2%,50.6%,1.06
vs Top 10,89,19,70,21.3%,64-158,28.8%,980-1252,43.9%,12-32,27.3%,86,74.0%,14.8%,8.0%,2.9%,57.7%,70.0%,47.7%,60.6%,32.9%,46.9%,0.83
