Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
16,Rafael Nadal [ESP],1,15,6.3%,6,1,5,16.7%,2004,2017,16,0.77,5.6%,2.8%,57.4%,63.8%,42.9%,54.9%,34.7%,53.4%,31.5%
16,David Ferrer [ESP],1,15,6.3%,10,2,8,20.0%,2006,2016,16,0.81,7.6%,3.0%,54.8%,69.8%,43.0%,57.7%,34.3%,54.0%,29.2%
13,Fernando Verdasco [ESP],5,8,38.5%,9,1,8,11.1%,2001,2015,12,1.05,7.3%,3.4%,54.7%,73.5%,53.3%,64.4%,37.3%,62.0%,36.4%
13,Tomas Berdych [CZE],4,9,30.8%,10,4,6,40.0%,2005,2013,12,0.90,10.2%,3.3%,57.8%,74.0%,50.6%,64.1%,32.4%,64.1%,34.5%
12,Juan Monaco [ARG],7,5,58.3%,5,2,3,40.0%,2003,2015,11,1.04,9.5%,3.7%,52.5%,74.2%,51.2%,63.2%,38.3%,69.4%,37.5%
11,Philipp Kohlschreiber [GER],7,4,63.6%,8,5,3,62.5%,2004,2017,10,1.19,13.7%,3.1%,58.6%,77.7%,52.8%,67.4%,38.7%,63.3%,46.9%
11,Guillermo Garcia Lopez [ESP],6,5,54.5%,3,3,0,100.0%,2002,2016,7,1.01,9.1%,3.6%,54.1%,74.2%,49.5%,62.9%,37.7%,63.5%,48.9%
11,Filippo Volandri [ITA],8,3,72.7%,2,2,0,100.0%,2005,2015,11,1.15,13.1%,2.5%,57.0%,74.8%,46.6%,62.7%,43.1%,55.7%,43.8%
11,Stan Wawrinka [SUI],3,8,27.3%,2,2,0,100.0%,2003,2013,8,0.93,8.4%,2.3%,55.4%,73.3%,49.6%,62.7%,34.6%,39.5%,27.3%
9,Tommy Robredo [ESP],8,1,88.9%,4,3,1,75.0%,2007,2017,9,1.24,7.1%,1.5%,61.6%,74.0%,56.5%,67.3%,40.6%,71.2%,39.8%
9,Daniel Gimeno Traver [ESP],7,2,77.8%,5,4,1,80.0%,2004,2014,8,1.13,8.3%,2.7%,63.5%,76.7%,54.3%,68.5%,35.5%,72.3%,45.5%
9,Igor Andreev [RUS],5,4,55.6%,4,1,3,25.0%,2003,2012,8,1.02,6.3%,2.6%,60.9%,67.3%,54.6%,62.3%,38.3%,57.8%,48.4%
9,Jose Acasuso [ARG],7,2,77.8%,0,0,0,-,2005,2011,9,1.08,7.1%,3.4%,65.0%,70.3%,54.2%,64.7%,38.1%,75.4%,45.1%
8,Albert Montanes [ESP],3,5,37.5%,4,1,3,25.0%,2003,2016,6,1.15,13.3%,4.9%,51.5%,78.5%,52.1%,65.7%,39.3%,64.9%,40.5%
8,Marcel Granollers [ESP],8,0,100.0%,2,2,0,100.0%,2003,2013,7,1.18,7.1%,4.8%,55.9%,76.1%,54.4%,66.5%,39.4%,72.7%,59.1%
