Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
1998 Australian Open F,W vs Rios,67.6%,70.8%,1.4%,0/1,1.99,15.7%,61.0%,68.0%,0.0%,1.73,27.3%,88.5%,73.9%,3.8%,2.20,6.9%
1998 Australian Open SF,W vs Kucera,65.7%,60.9%,1.9%,1/1,1.70,14.8%,62.1%,52.8%,1.7%,1.64,24.0%,84.6%,69.7%,2.6%,1.76,2.6%
1998 Doha F,W vs Santoro,82.9%,73.5%,2.4%,0/1,2.61,33.3%,85.2%,73.9%,0.0%,2.33,41.7%,78.6%,72.7%,7.1%,2.75,29.2%
1997 Stuttgart F,W vs Krajicek,42.7%,57.1%,0.0%,0/0,1.95,55.7%,41.1%,52.2%,0.0%,1.81,57.1%,57.1%,66.7%,0.0%,2.15,53.8%
1997 Stuttgart SF,W vs Rafter,53.2%,56.1%,1.3%,1/0,1.84,87.5%,50.0%,52.4%,2.4%,1.90,80.0%,64.5%,60.0%,0.0%,1.78,95.7%
1997 US Open R16,W vs Sampras,51.9%,60.2%,2.6%,0/5,2.47,38.8%,45.2%,55.3%,1.0%,2.39,41.8%,73.9%,64.7%,5.8%,2.61,33.3%
1997 Wimbledon R16,L vs Sampras,45.2%,45.1%,5.7%,3/6,2.38,24.3%,36.8%,46.2%,4.7%,2.29,35.7%,68.1%,43.8%,8.5%,2.45,11.8%
1996 Paris SF,L vs Kafelnikov,69.4%,47.5%,2.4%,0/2,1.84,26.3%,64.7%,45.5%,2.0%,1.80,25.0%,83.9%,50.0%,3.2%,1.90,28.0%
1995 Wimbledon R64,W vs Chang,59.3%,50.0%,6.6%,3/3,1.78,0.0%,66.7%,53.8%,7.7%,1.88,0.0%,84.8%,46.4%,9.1%,1.69,0.0%
1994 Miami QF,L vs Sampras,61.8%,44.7%,1.3%,0/1,2.35,18.2%,45.7%,37.5%,2.9%,2.43,23.1%,79.5%,48.4%,0.0%,2.24,11.1%
1994 Indian Wells F,L vs Sampras,57.8%,45.9%,2.7%,2/2,1.82,26.9%,48.9%,48.9%,3.3%,1.89,38.7%,88.9%,42.5%,2.2%,1.73,10.9%
1994 Indian Wells SF,W vs Krickstein,62.5%,42.9%,0.0%,0/0,2.09,0.0%,57.6%,26.3%,0.0%,2.37,0.0%,84.2%,62.5%,0.0%,1.87,0.0%
1994 Milan F,L vs Becker,48.6%,47.2%,2.7%,0/2,2.12,12.3%,34.2%,38.5%,0.0%,2.13,15.4%,74.2%,52.2%,6.5%,2.11,5.6%
1993 Grand Slam Cup F,W vs Stich,50.0%,59.6%,4.5%,3/6,1.97,28.7%,47.7%,49.1%,6.3%,1.90,31.3%,68.7%,71.7%,3.0%,2.09,23.9%
1993 Sydney F,L vs Yzaga,71.6%,48.5%,3.5%,1/4,2.07,32.1%,79.7%,46.0%,2.5%,2.00,49.0%,84.4%,52.6%,6.7%,2.16,8.6%
1993 Canada SF,L vs Pernfors,84.2%,50.0%,3.9%,0/3,1.72,11.9%,81.4%,62.9%,7.0%,1.75,20.7%,87.9%,34.5%,0.0%,1.68,3.3%
1993 Miami SF,L vs Sampras,54.7%,56.1%,0.0%,0/0,2.27,30.9%,38.9%,42.9%,0.0%,2.10,30.8%,77.1%,63.0%,0.0%,2.69,31.3%
1992 Tour Finals RR,L vs Edberg,51.9%,47.6%,1.2%,0/1,2.18,46.8%,40.5%,26.7%,0.0%,2.31,50.0%,75.0%,59.3%,2.8%,2.02,42.9%
1992 Roland Garros F,L vs Courier,57.3%,41.9%,2.7%,0/2,1.99,8.3%,65.1%,39.3%,2.3%,1.92,10.0%,93.8%,46.7%,6.3%,2.11,5.6%
1992 Roland Garros SF,W vs Leconte,60.0%,60.6%,4.5%,3/2,2.16,30.1%,50.0%,54.5%,2.3%,2.07,24.0%,80.0%,63.6%,7.3%,2.37,43.5%
Career (25 matches),,59.2%,53.7%,3.0%,34.3%,2.06,26.1%,53.8%,50.4%,3.1%,2.02,31.1%,78.9%,57.2%,3.3%,2.12,18.8%
