Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2005,,,,,,,,,,,1683,1,,
2001,,,,,,,,,,,1536,1,,
2000,1332,1,,,,,,,,,1009,12,,
1999,,,55,1818,40,1796,60,1760,21,1768,,,,
1998,13,2114,23,1927,21,1888,30,1855,11,1840,321,162,,
1997,13,2261,9,2022,10,1937,25,1906,9,1877,220,279,,
1996,24,1332,14,1968,16,1891,17,1930,15,1834,23,1853,,
1995,41,,27,1896,22,1870,30,1842,16,1811,44,1305,,
1994,18,,21,1938,13,1954,18,1939,20,1821,115,614,,
1993,12,,9,2057,7,2006,11,2002,13,1894,32,1441,,
1992,7,,12,2053,11,2022,11,1994,22,1797,64,844,,
1991,9,,11,2036,11,1978,17,1895,29,1771,63,777,,
1990,38,,52,1830,78,1695,51,1759,59,1677,15,1505,,
1989,59,,35,1865,,,40,1799,,,26,,,
1988,188,,135,1645,147,1554,114,1614,81,1606,46,,,
1987,87,,,,,,,,,,91,,,
1986,511,,,,,,,,,,296,,,
1985,794,,,,,,,,,,,,,
