Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1998 Australian Open F,W vs Rios,2.7%,50.0%,11.5%,52.9%,40.4%,30.0%,100.0%,10.5%,27.3%,0.0%,-,107,106
1998 Australian Open SF,W vs Kucera,6.6%,71.4%,16.0%,76.5%,21.8%,23.8%,7.1%,12.1%,11.1%,0.5%,50.0%,78,44
1998 Doha F,W vs Santoro,1.9%,100.0%,19.1%,88.9%,31.6%,30.0%,11.1%,16.7%,12.5%,0.0%,-,152,124
1997 Stuttgart F,W vs Krajicek,3.6%,33.3%,10.7%,72.2%,32.7%,30.4%,20.0%,48.8%,87.5%,1.5%,0.0%,273,138
1997 Stuttgart SF,W vs Rafter,9.0%,100.0%,11.3%,100.0%,20.4%,4.5%,14.3%,16.1%,66.7%,0.0%,-,257,182
1997 US Open R16,W vs Sampras,1.3%,50.0%,5.3%,68.4%,14.6%,10.9%,3.7%,20.9%,14.3%,0.0%,-,49,29
1997 Wimbledon R16,L vs Sampras,34.7%,68.9%,20.8%,66.7%,21.8%,40.9%,0.0%,16.1%,5.6%,0.0%,-,80,65
1996 Paris SF,L vs Kafelnikov,1.3%,100.0%,12.8%,90.5%,16.0%,36.8%,16.7%,10.6%,25.0%,0.4%,0.0%,81,65
1995 Wimbledon R64,W vs Chang,72.3%,68.5%,43.2%,68.6%,21.4%,31.3%,0.0%,7.1%,0.0%,0.0%,-,118,104
1994 Miami QF,L vs Sampras,13.6%,50.0%,16.0%,56.5%,20.0%,31.6%,14.3%,6.9%,0.0%,0.0%,-,50,68
1994 Indian Wells F,L vs Sampras,4.3%,50.0%,11.1%,69.7%,19.5%,27.3%,33.3%,12.9%,11.8%,0.0%,-,60,36
1994 Indian Wells SF,W vs Krickstein,2.3%,100.0%,13.8%,60.0%,12.9%,36.8%,0.0%,23.7%,0.0%,0.6%,100.0%,107,103
1994 Milan F,L vs Becker,2.6%,100.0%,5.2%,87.5%,23.1%,25.0%,12.5%,17.9%,42.9%,0.0%,-,106,80
1993 Grand Slam Cup F,W vs Stich,9.6%,44.4%,12.9%,64.0%,21.4%,35.9%,42.9%,20.5%,19.4%,0.3%,100.0%,106,62
1993 Sydney F,L vs Yzaga,1.6%,50.0%,8.8%,70.8%,9.7%,13.6%,7.7%,17.1%,31.6%,0.0%,-,41,33
1993 Canada SF,L vs Pernfors,5.6%,50.0%,25.7%,66.7%,9.5%,18.9%,0.0%,10.2%,25.0%,0.3%,100.0%,83,64
1993 Miami SF,L vs Sampras,3.8%,66.7%,9.0%,71.4%,12.2%,22.7%,0.0%,8.9%,7.1%,0.5%,0.0%,1,14
1992 Tour Finals RR,L vs Edberg,0.0%,-,5.2%,62.5%,16.9%,53.3%,0.0%,20.6%,50.0%,0.0%,-,71,86
1992 Roland Garros F,L vs Courier,6.1%,60.0%,14.3%,47.8%,11.4%,21.1%,22.2%,11.9%,20.0%,1.9%,50.0%,78,27
1992 Roland Garros SF,W vs Leconte,3.0%,66.7%,6.6%,78.6%,25.9%,33.3%,0.0%,17.7%,29.4%,0.8%,100.0%,40,43
Career (25 matches),,10.2%,65.5%,13.9%,69.6%,18.3%,25.3%,11.8%,14.5%,20.1%,0.3%,45.0%,79,61
