Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1998 Australian Open F,W vs Rios,28.6%,37.7%,58.8%,32.5%,45.0%,60.0%,59.1%,52.5%,55.6%,40.9%,33.3%,12.1%,15.2%,58.6%,1
1998 Australian Open SF,W vs Kucera,15.0%,31.8%,54.5%,23.6%,16.7%,41.7%,50.0%,32.2%,30.0%,70.0%,80.0%,13.6%,20.5%,60.5%,18
1998 Doha F,W vs Santoro,24.5%,37.7%,61.1%,30.6%,40.0%,60.0%,58.3%,56.0%,55.6%,63.6%,100.0%,17.2%,27.6%,62.5%,19
1997 Stuttgart F,W vs Krajicek,25.6%,58.1%,71.0%,37.0%,29.4%,60.8%,69.4%,48.6%,31.6%,68.8%,-,21.2%,57.6%,73.1%,7
1997 Stuttgart SF,W vs Rafter,24.7%,39.7%,64.6%,30.4%,37.5%,52.5%,68.0%,48.0%,43.8%,66.7%,66.7%,11.5%,30.8%,60.9%,-18
1997 US Open R16,W vs Sampras,31.7%,43.1%,62.1%,38.0%,38.0%,52.8%,65.7%,47.6%,23.8%,62.1%,60.0%,25.0%,31.3%,55.6%,37
1997 Wimbledon R16,L vs Sampras,38.1%,51.3%,49.5%,42.8%,44.0%,57.0%,48.2%,52.9%,40.5%,65.5%,60.0%,35.4%,50.6%,51.0%,91
1996 Paris SF,L vs Kafelnikov,25.3%,34.2%,50.9%,29.4%,31.9%,40.4%,53.1%,38.7%,27.3%,68.0%,100.0%,16.7%,26.7%,48.0%,16
1995 Wimbledon R64,W vs Chang,29.6%,51.9%,54.4%,37.8%,40.4%,64.9%,58.8%,55.8%,25.0%,58.6%,50.0%,28.1%,59.4%,47.8%,123
1994 Miami QF,L vs Sampras,32.4%,45.6%,40.9%,37.8%,42.2%,53.3%,34.6%,50.4%,50.0%,60.9%,100.0%,14.3%,33.3%,50.0%,25
1994 Indian Wells F,L vs Sampras,23.5%,32.9%,50.9%,29.3%,31.9%,41.8%,51.6%,41.4%,28.3%,62.2%,80.0%,11.5%,21.2%,50.0%,-4
1994 Indian Wells SF,W vs Krickstein,35.8%,43.4%,61.8%,39.8%,53.1%,62.5%,66.7%,59.7%,72.7%,47.6%,-,9.5%,14.3%,57.9%,-79
1994 Milan F,L vs Becker,19.0%,34.2%,59.6%,26.2%,25.0%,42.3%,64.1%,36.0%,30.4%,58.6%,100.0%,10.0%,25.0%,50.0%,-37
1993 Grand Slam Cup F,W vs Stich,25.1%,35.1%,46.5%,31.9%,32.0%,44.3%,50.6%,42.5%,46.9%,72.6%,75.0%,16.4%,23.6%,39.1%,44
1993 Sydney F,L vs Yzaga,19.5%,27.8%,47.6%,25.6%,29.0%,42.0%,51.0%,40.7%,42.9%,61.0%,71.4%,14.6%,19.5%,42.9%,19
1993 Canada SF,L vs Pernfors,17.1%,30.3%,40.0%,23.4%,23.1%,38.5%,40.0%,35.4%,33.3%,71.4%,50.0%,11.8%,23.5%,40.0%,1
1993 Miami SF,L vs Sampras,23.5%,27.2%,49.1%,27.8%,29.1%,30.9%,46.2%,35.5%,12.0%,70.0%,66.7%,15.8%,26.3%,56.3%,9
1992 Tour Finals RR,L vs Edberg,27.4%,41.1%,60.4%,34.0%,35.7%,50.0%,74.1%,47.1%,15.8%,52.2%,50.0%,18.5%,33.3%,40.9%,54
1992 Roland Garros F,L vs Courier,10.5%,18.6%,40.8%,16.0%,18.4%,34.2%,41.9%,31.1%,16.7%,70.0%,83.3%,9.5%,19.0%,42.1%,-39
1992 Roland Garros SF,W vs Leconte,22.3%,29.1%,57.5%,27.2%,28.6%,34.3%,64.0%,35.7%,54.3%,20.0%,33.3%,11.5%,23.1%,43.5%,-8
Career (25 matches),,25.3%,37.4%,52.6%,31.4%,32.6%,46.8%,54.0%,43.0%,36.5%,62.2%,71.7%,18.2%,29.7%,50.6%,57
