Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2012,176,295,90,1709,94,1641,58,1729,147,1495,113,605,92,1592
2011,29,1270,57,1791,68,1689,36,1801,110,1552,49,1485,68,1652
2010,38,1070,41,1846,43,1762,28,1832,91,1563,52,1420,48,1690
2009,73,611,52,1794,49,1734,43,1782,,,203,326,,
2008,140,315,50,1812,44,1761,34,1791,,,251,225,,
2007,20,1425,36,1844,32,1803,28,1817,87,1569,291,185,83,1573
2006,33,920,55,1782,44,1753,45,1753,110,1532,86,620,55,1635
2005,39,815,53,1790,38,1765,47,1763,,,87,645,79,1577
2004,26,1135,36,1837,33,1783,24,1842,83,1581,41,1300,54,1651
2003,38,965,32,1868,29,1823,19,1854,89,1578,112,495,105,1492
2002,23,1240,32,1881,26,1828,23,1870,95,1569,260,160,,
2001,70,544,37,1868,58,1731,23,1862,,,779,29,,
2000,63,632,145,1635,165,1538,96,1661,174,1472,490,69,,
1999,124,372,176,1590,170,1540,158,1573,,,1185,7,,
1998,206,221,130,1662,215,1478,107,1661,,,905,18,,
1997,582,35,,,,,,,,,702,38,,
1996,1170,,,,,,,,,,,,,
