Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2013 Manta CH R32,L vs Gonzalez,13% (1/8),100% (1/1),0/3,56% (5/9),0% (0/5),0/1,0/0,0/2,0/0,0/1
2013 Ostrava CH R32,L vs Dzumhur,0% (0/7),- (0/0),0/4,86% (6/7),17% (1/6),0/0,0/0,1/2,0/0,1/1
2013 Savannah CH R32,W vs Molchanov,65% (11/17),64% (7/11),3/6,47% (8/17),25% (2/8),3/6,1/2,1/1,0/1,0/0
2013 Guadalajara CH R32,L vs Gojowczyk,20% (2/10),0% (0/2),0/1,44% (4/9),50% (2/4),0/0,0/0,1/2,0/0,1/1
2013 USA F7 R32,L vs Klein,47% (7/15),71% (5/7),2/5,53% (8/15),13% (1/8),3/5,1/2,1/3,0/0,1/2
2013 Santiago CH R32,L vs Trungelliti,27% (4/15),50% (2/4),0/4,31% (5/16),0% (0/5),1/2,0/0,2/3,0/0,0/1
2013 Santiago R32,L vs Montanes,25% (4/16),50% (2/4),2/4,40% (6/15),33% (2/6),2/2,0/0,1/1,0/0,0/0
2013 Bucaramanga CH R16,L vs Delbonis,33% (5/15),80% (4/5),2/5,43% (6/14),17% (1/6),1/3,0/0,0/0,0/0,0/0
2013 Bucaramanga CH R32,W vs Velotti,75% (6/8),67% (4/6),1/1,56% (5/9),80% (4/5),3/4,2/2,0/0,1/1,0/0
2012 Villa Allende CH R32,L vs Zeballos,25% (2/8),0% (0/2),0/3,63% (5/8),20% (1/5),0/0,0/0,1/2,0/0,0/1
2012 Quito CH SF,L vs Souza,11% (1/9),100% (1/1),0/4,75% (6/8),33% (2/6),1/1,0/0,1/1,0/0,1/1
2012 Quito CH QF,W vs Schwank,33% (3/9),100% (3/3),0/0,33% (3/9),100% (3/3),3/3,2/2,0/0,1/1,0/0
2012 Quito CH R16,W vs Zivkovic,30% (3/10),67% (2/3),0/1,18% (2/11),50% (1/2),2/2,1/1,2/2,1/1,0/0
2012 Quito CH R32,W vs Reyes Varela,50% (5/10),60% (3/5),0/1,40% (4/10),75% (3/4),0/1,0/0,0/0,0/0,0/0
2012 Como CH R32,L vs Lammer,11% (1/9),0% (0/1),0/3,38% (3/8),0% (0/3),0/0,0/0,0/0,0/0,0/0
2012 Cordenons CH R32,L vs Hanescu,0% (0/11),- (0/0),0/1,36% (4/11),75% (3/4),0/0,0/0,3/3,0/0,1/1
2012 San Marino CH R16,L vs Bolelli,0% (0/7),- (0/0),0/5,86% (6/7),17% (1/6),0/0,0/0,0/0,0/0,0/0
2012 Santiago R32,L vs Delbonis,0% (0/7),- (0/0),0/4,100% (8/8),38% (3/8),0/0,0/0,0/1,0/0,0/1
2011 Montevideo CH R32,L vs Kuznetsov,30% (3/10),67% (2/3),0/2,50% (5/10),20% (1/5),1/1,0/0,0/2,0/0,0/1
2011 Medellin CH R32,W vs Escobar,71% (5/7),100% (5/5),0/0,29% (2/7),100% (2/2),4/4,1/1,0/0,1/1,0/0
2013 (9 matches),,36.0%,62.5%,30.3%,47.7%,24.5%,56.5%,66.7%,50.0%,50.0%,50.0%
2012 (9 matches),,18.8%,60.0%,0.0%,51.2%,41.5%,85.7%,100.0%,77.8%,100.0%,50.0%
2011 (3 matches),,46.9%,60.0%,0.0%,38.7%,33.3%,100.0%,100.0%,40.0%,100.0%,0.0%
2009 (1 matches),,21.4%,66.7%,40.0%,84.6%,45.5%,100.0%,-,50.0%,-,100.0%
2007 (3 matches),,23.5%,50.0%,0.0%,57.6%,5.3%,50.0%,-,40.0%,-,33.3%
Career (30 matches),,29.5%,60.6%,14.6%,47.6%,28.9%,70.4%,83.3%,55.3%,87.5%,43.8%
