Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2009 US Open R128,L vs Gonzalez,3.4,3.7,3.1,40.5%,41.5%,50.0%,37.5%,68.0%,10.3%,-5.0,-3.0,-6.5,-9.4
2007 Hamburg R64,L vs Safin,5.1,5.1,5.1,45.2%,54.3%,50.0%,37.5%,56.3%,21.5%,15.0,8.0,-9.0,-7.8
2007 Davis Cup World Group R1 RR,L vs Safin,4.7,3.7,5.5,43.0%,36.8%,47.1%,35.3%,60.8%,34.2%,8.5,4.6,-7.0,-9.2
2007 Australian Open R128,L vs Djokovic,3.7,4.1,3.3,32.0%,40.0%,33.3%,36.4%,60.4%,31.9%,0.0,0.0,-3.0,-6.4
2006 Amersfoort F,L vs Djokovic,4.2,4.1,4.2,51.2%,46.9%,70.6%,13.3%,66.1%,44.8%,9.5,5.7,-2.0,-4.3
2006 Roland Garros R32,L vs Federer,3.9,3.6,4.3,46.3%,43.1%,37.0%,31.6%,62.3%,14.8%,1.0,0.5,-2.5,-2.3
2004 Olympics F,W vs Fish,3.5,3.7,3.2,48.7%,52.0%,50.0%,70.0%,60.3%,15.4%,21.0,8.9,15.5,12.4
2004 Kitzbuhel F,W vs Gaudio,5.4,5.5,5.3,55.6%,65.7%,38.1%,55.2%,59.4%,15.2%,24.5,10.9,-2.5,-1.9
2003 Madrid F,L vs Ferrero,5.1,5.3,4.9,44.2%,44.8%,42.1%,41.4%,54.0%,9.9%,-1.0,-0.5,-8.0,-5.2
2003 Madrid SF,W vs El Aynaoui,4.5,5.3,3.7,51.4%,55.6%,50.0%,66.7%,63.7%,29.4%,12.5,8.6,5.0,8.6
2003 Kitzbuhel F,L vs Coria,4.3,4.4,4.0,37.0%,39.1%,48.1%,41.2%,66.2%,17.6%,-3.0,-1.7,-7.5,-10.3
2000 US Open R128,L vs Rios,3.8,4.2,3.4,46.2%,41.5%,60.0%,60.0%,54.8%,28.9%,18.5,9.3,-7.0,-6.3
2000 Orlando F,L vs Gonzalez,3.3,3.9,2.7,42.0%,42.9%,40.0%,50.0%,61.9%,17.6%,-3.5,-4.3,-2.5,-6.3
Career (13 matches),,4.2,4.3,4.0,45.2%,46.8%,47.9%,43.4%,60.5%,21.4%,7.5,4.3,-2.8,-3.2
