Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Gaston Gaudio [ARG],5,7,41.7%,1,1,0,100.0%,1998,2009,7,0.96,4.8%,4.6%,55.2%,66.4%,45.5%,57.1%,41.2%,63.1%,47.1%
11,Juan Ignacio Chela [ARG],2,9,18.2%,5,2,3,40.0%,1998,2009,6,0.85,5.1%,4.0%,59.8%,64.6%,50.0%,58.7%,35.3%,66.2%,51.5%
9,Juan Carlos Ferrero [ESP],2,7,22.2%,4,2,2,50.0%,2000,2010,7,0.83,5.0%,4.0%,59.3%,66.3%,43.8%,57.1%,35.4%,61.4%,45.5%
9,Mariano Zabaleta [ARG],6,3,66.7%,4,3,1,75.0%,2000,2006,8,1.01,3.5%,2.6%,62.8%,70.8%,53.7%,64.4%,36.1%,66.7%,38.3%
8,Filippo Volandri [ITA],2,6,25.0%,0,0,0,-,2001,2010,7,0.89,3.7%,3.9%,53.6%,63.1%,43.4%,54.0%,41.1%,46.7%,48.9%
8,Alberto Martin [ESP],2,6,25.0%,2,1,1,50.0%,2000,2009,6,0.88,4.6%,3.6%,62.2%,65.6%,45.0%,57.8%,37.3%,62.7%,35.6%
8,Agustin Calleri [ARG],2,6,25.0%,4,2,2,50.0%,2002,2009,8,0.83,5.6%,4.2%,54.1%,65.9%,51.9%,59.5%,33.8%,65.8%,40.9%
8,Luis Horna [PER],7,1,87.5%,2,1,1,50.0%,1995,2007,5,1.36,5.6%,1.7%,69.7%,72.2%,56.5%,67.4%,44.4%,68.8%,58.5%
7,Fernando Gonzalez [CHI],2,5,28.6%,4,3,1,75.0%,2000,2009,6,0.80,3.5%,3.3%,66.1%,63.0%,43.2%,56.3%,34.9%,61.9%,38.5%
7,Jose Acasuso [ARG],4,3,57.1%,2,1,1,50.0%,2003,2007,5,1.29,8.5%,2.9%,61.6%,77.8%,53.4%,68.4%,40.7%,50.0%,51.7%
7,Raemon Sluiter [NED],6,1,85.7%,3,3,0,100.0%,2001,2006,7,1.27,8.1%,2.3%,65.0%,73.1%,53.6%,66.3%,42.7%,59.4%,43.5%
6,Albert Montanes [ESP],4,2,66.7%,1,1,0,100.0%,2002,2013,5,1.04,4.2%,5.0%,61.4%,67.9%,48.2%,60.3%,41.4%,70.5%,41.2%
6,Marcos Daniel [BRA],3,3,50.0%,2,1,1,50.0%,2006,2010,6,0.94,4.5%,3.5%,55.6%,67.7%,51.7%,60.6%,37.2%,62.2%,62.5%
6,Guillermo Canas [ARG],1,5,16.7%,0,0,0,-,1995,2008,3,0.87,4.4%,14.3%,56.6%,62.1%,35.4%,50.5%,43.1%,38.1%,52.6%
6,Tommy Robredo [ESP],3,3,50.0%,1,0,1,0.0%,1998,2008,4,0.86,1.7%,2.7%,59.5%,66.9%,46.2%,58.5%,35.7%,51.6%,42.1%
