Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2009 US Open R128,L vs Gonzalez,23.3%,28.2%,35.6%,26.4%,26.7%,33.3%,36.4%,32.0%,40.7%,48.5%,75.0%,21.6%,24.3%,34.5%,87
2007 Hamburg R64,L vs Safin,15.6%,26.0%,52.5%,22.7%,16.3%,26.5%,58.5%,27.6%,36.8%,76.7%,100.0%,16.7%,29.2%,40.0%,45
2007 Davis Cup World Group R1 RR,L vs Safin,26.6%,40.6%,35.6%,33.8%,34.8%,52.2%,46.7%,44.8%,38.1%,60.0%,66.7%,6.3%,12.5%,13.3%,-57
2007 Australian Open R128,L vs Djokovic,18.8%,23.2%,30.8%,21.2%,29.7%,35.1%,23.1%,34.1%,35.3%,50.0%,50.0%,7.1%,10.7%,38.5%,-49
2006 Amersfoort F,L vs Djokovic,26.8%,37.8%,49.1%,28.7%,47.2%,55.6%,42.1%,51.4%,40.0%,52.4%,66.7%,12.8%,28.2%,52.9%,13
2006 Roland Garros R32,L vs Federer,22.7%,31.9%,47.2%,27.4%,30.9%,45.6%,53.2%,39.1%,46.9%,72.2%,75.0%,19.4%,22.6%,36.0%,70
2004 Olympics F,W vs Fish,25.2%,30.3%,50.0%,27.7%,33.7%,37.1%,50.8%,38.1%,54.8%,48.9%,66.7%,15.0%,23.3%,49.0%,32
2004 Kitzbuhel F,W vs Gaudio,15.3%,23.5%,60.9%,20.5%,23.9%,32.6%,65.7%,33.5%,55.0%,65.4%,100.0%,5.6%,13.9%,55.9%,-62
2003 Madrid F,L vs Ferrero,18.4%,29.9%,42.4%,24.9%,23.5%,41.2%,46.2%,34.7%,47.8%,57.1%,100.0%,12.9%,16.1%,37.0%,-32
2003 Madrid SF,W vs El Aynaoui,12.7%,34.9%,73.6%,26.2%,12.2%,34.7%,74.4%,29.6%,42.9%,82.1%,100.0%,16.7%,41.7%,70.0%,39
2003 Kitzbuhel F,L vs Coria,20.7%,33.7%,46.9%,25.1%,30.2%,43.4%,56.8%,37.9%,29.2%,72.4%,60.0%,10.0%,26.7%,33.3%,-33
2000 US Open R128,L vs Rios,19.2%,32.3%,54.2%,25.6%,32.8%,54.1%,61.0%,46.4%,45.5%,43.6%,0.0%,8.3%,15.0%,49.1%,-31
2000 Orlando F,L vs Gonzalez,22.8%,28.1%,39.0%,27.7%,27.8%,33.3%,42.3%,35.6%,27.8%,55.6%,60.0%,16.7%,22.2%,33.3%,39
Career (13 matches),,21.0%,30.8%,48.2%,26.0%,28.5%,40.4%,52.0%,37.3%,42.9%,60.0%,71.4%,12.8%,21.1%,43.2%,8
