Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,876,16,314,1380,255,1412,297,1355,,,937,30,,
2012,618,38,294,1417,,,273,1389,,,,,,
2011,450,79,258,1468,203,1479,227,1447,,,376,148,,
2010,186,284,192,1541,147,1552,175,1521,170,1458,342,175,,
2009,112,494,113,1666,102,1620,97,1653,,,490,100,,
2008,77,545,83,1720,93,1646,69,1711,,,221,265,,
2007,78,514,77,1719,93,1635,45,1739,93,1561,257,215,97,1540
2006,44,825,51,1805,52,1730,30,1815,65,1607,139,390,65,1621
2005,65,565,71,1759,66,1697,37,1786,76,1597,58,950,45,1675
2004,19,1320,22,1889,27,1813,14,1881,58,1650,36,1335,17,1832
2003,12,1559,12,1944,18,1856,8,1937,39,1688,291,152,,
2002,56,680,40,1861,43,1792,30,1821,59,1650,389,90,,
2001,80,510,103,1695,86,1667,102,1637,107,1572,1263,6,,
2000,87,496,82,1749,92,1668,68,1717,104,1557,243,205,,
1999,97,488,89,1741,169,1540,65,1752,,,356,131,,
1998,188,246,242,1504,265,1392,226,1477,,,319,163,,
1997,583,35,,,,,,,,,470,87,,
1996,882,,,,,,,,,,,,,
1995,845,,,,,,,,,,1133,5,,
