Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1996,14,1567,11,1984,12,1933,11,1954,4,1955,44,1347,,
1995,23,,13,1993,10,1989,12,1960,5,1962,119,581,,
1994,7,,14,2026,6,2038,15,1967,4,2004,125,558,,
1993,5,,5,2098,3,2103,9,2030,3,2065,27,1504,,
1992,2,,5,2134,2,2156,8,2034,2,2102,123,478,,
1991,1,,2,2209,1,2190,3,2085,1,2164,86,598,,
1990,1,,2,2228,1,2195,1,2093,1,2172,128,428,,
1989,3,,3,2196,3,2130,3,2136,3,2128,74,,,
1988,5,,4,2162,4,2107,6,2069,2,2123,74,,,
1987,2,,2,2277,2,2233,3,2129,2,2140,3,,,
1986,5,,4,2184,4,2151,4,2108,3,2040,3,,,
1985,5,,5,2171,5,2089,6,2045,6,2044,6,,,
1984,20,,17,1948,18,1876,23,1861,20,1810,13,,,
1983,54,,95,1735,76,1686,74,1721,93,1607,,,,
