Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1996,72,46,26,63.9%,111-73,60.3%,987-840,54.0%,14-17,45.2%,69,80.4%,28.9%,4.7%,5.0%,59.0%,71.7%,51.5%,63.4%,40.5%,51.7%,1.11,F (Queen's Club)
1995,62,42,20,67.7%,102-62,62.2%,847-697,54.9%,14-8,63.6%,58,79.6%,30.2%,4.1%,4.8%,60.6%,72.6%,50.6%,63.9%,41.3%,52.2%,1.15,W (2x)
1994,87,60,27,69.0%,146-74,66.4%,1176-916,56.2%,15-14,51.7%,71,82.3%,30.9%,3.8%,5.0%,61.8%,71.9%,51.9%,64.3%,41.5%,52.8%,1.16,W (3x)
1993,87,61,26,70.1%,156-79,66.4%,1247-1011,55.2%,24-14,63.2%,73,80.8%,30.7%,3.4%,5.3%,60.5%,72.8%,49.5%,63.6%,41.5%,52.4%,1.14,W (Madrid)
1992,92,68,24,73.9%,170-81,67.7%,1389-1094,55.9%,32-16,66.7%,82,85.0%,27.4%,4.1%,4.1%,63.6%,73.9%,52.3%,66.0%,39.8%,52.6%,1.17,W (3x)
1991,93,76,17,81.7%,185-56,76.8%,1339-924,59.2%,18-9,66.7%,85,85.4%,33.0%,3.9%,3.9%,63.0%,74.7%,54.6%,67.3%,42.9%,54.6%,1.31,W (7x)
1990,85,70,15,82.4%,139-46,75.1%,990-649,60.4%,20-11,64.5%,0,,,,,,,,,,,,W (7x)
1989,81,64,17,79.0%,138-48,74.2%,969-700,58.1%,19-9,67.9%,0,,,,,,,,,,,,W (2x)
1988,85,67,18,78.8%,158-59,72.8%,1163-843,58.0%,18-9,66.7%,0,,,,,,,,,,,,W (4x)
1987,88,76,12,86.4%,162-35,82.2%,1106-661,62.6%,19-17,52.8%,0,,,,,,,,,,,,W (7x)
1986,92,70,22,76.1%,144-62,69.9%,1104-776,58.7%,19-13,59.4%,0,,,,,,,,,,,,W (3x)
1985,78,60,18,76.9%,131-46,74.0%,951-661,59.0%,19-14,57.6%,0,,,,,,,,,,,,W (4x)
1984,50,32,18,64.0%,66-34,66.0%,503-390,56.3%,14-11,56.0%,0,,,,,,,,,,,,W (2x)
1983,22,12,10,54.5%,26-21,55.3%,223-209,51.6%,3-4,42.9%,0,,,,,,,,,,,,SF (2x)
1982,3,0,3,0.0%,1-6,14.3%,17-39,30.4%,1-0,100.0%,0,,,,,,,,,,,,R32 (2x)
Career,1077,804,273,74.7%,1835-782,70.1%,14011-10410,57.4%,249-166,60.0%,438,82.6%,30.2%,4.0%,4.6%,61.6%,73.1%,51.8%,64.9%,41.2%,52.8%,1.17,
