Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,67,56,11,83.6%,29,19,10,65.5%,1983,1996,W,28,1.24,3.1%,4.1%,65.3%,73.2%,50.1%,65.2%,43.3%,70.3%,44.9%
Roland Garros,13,Clay,43,30,13,69.8%,25,14,11,56.0%,1984,1996,F,18,1.00,2.7%,4.3%,61.4%,71.9%,46.0%,61.9%,38.1%,61.8%,41.8%
Wimbledon,14,Grass,61,49,12,80.3%,39,24,15,61.5%,1983,1996,W,23,1.23,4.8%,4.3%,61.8%,77.3%,50.0%,66.9%,40.8%,62.9%,37.8%
US Open,14,Hard,55,43,12,78.2%,27,16,11,59.3%,1983,1996,W,25,1.20,4.4%,4.7%,60.0%,75.8%,48.7%,65.0%,41.9%,65.6%,43.9%
Olympics,3,,11,9,2,81.8%,6,6,0,100.0%,1984,1992,W,0,,,,,,,,,,
Davis Cup,11,,48,33,15,68.8%,10,6,4,60.0%,1985,1996,,0,,,,,,,,,,
Queen's Club,12,Grass,44,33,11,75.0%,24,10,14,41.7%,1984,1996,W,23,1.17,4.3%,5.0%,59.4%,72.5%,54.0%,65.0%,41.1%,68.1%,39.6%
Basel,10,Hard,38,31,7,81.6%,18,12,6,66.7%,1983,1996,W,12,1.18,5.5%,4.3%,58.5%,78.1%,56.7%,69.2%,36.4%,50.0%,29.8%
Tokyo Indoor,10,Carpet,38,30,8,78.9%,13,8,5,61.5%,1986,1995,W,16,1.14,5.8%,4.7%,61.4%,74.6%,52.4%,66.0%,38.8%,60.8%,45.4%
Stockholm,10,Hard,28,20,8,71.4%,13,6,7,46.2%,1982,1996,W,4,1.10,7.9%,3.2%,65.6%,70.5%,56.3%,65.6%,37.9%,60.0%,52.2%
Dusseldorf,9,Clay,28,18,10,64.3%,10,5,5,50.0%,1987,1995,W,4,1.26,4.1%,6.8%,59.4%,78.2%,48.7%,66.2%,42.7%,77.8%,50.0%
Miami Masters,7,Hard,26,19,7,73.1%,13,7,6,53.8%,1990,1996,F,20,1.19,1.9%,5.5%,64.4%,71.4%,54.6%,65.4%,41.2%,58.9%,41.4%
