Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,238,101,137,42.4%,240-297,44.7%,2371-2568,48.0%,26-23,53.1%,186,57.2%,37.5%,3.0%,3.0%,57.1%,61.5%,45.2%,54.5%,44.0%,49.3%,0.97
Clay,129,57,72,44.2%,136-157,46.4%,1317-1382,48.8%,15-16,48.4%,91,64.4%,38.3%,2.8%,2.8%,58.7%,60.5%,43.7%,53.5%,44.5%,49.0%,0.96
Grass,60,33,27,55.0%,78-60,56.5%,672-607,52.5%,10-4,71.4%,55,69.1%,39.3%,3.8%,2.7%,59.8%,67.3%,47.0%,59.1%,41.9%,50.6%,1.03
Carpet,11,4,7,36.4%,8-16,33.3%,102-117,46.6%,2-2,50.0%,7,-,-,3.0%,3.0%,60.9%,63.9%,48.0%,57.7%,35.8%,47.1%,0.85
Grand Slams,100,48,52,48.0%,112-115,49.3%,1029-1047,49.6%,7-9,43.8%,93,62.2%,34.7%,3.2%,2.5%,58.5%,63.3%,45.6%,55.9%,43.4%,49.8%,0.99
Premiers,138,59,79,42.8%,138-173,44.4%,1382-1484,48.2%,18-12,60.0%,128,61.5%,37.8%,3.2%,2.9%,57.9%,62.9%,44.1%,55.0%,43.2%,49.1%,0.96
Internationals,112,55,57,49.1%,131-128,50.6%,1218-1223,49.9%,22-14,61.1%,81,62.3%,43.5%,3.0%,3.2%,59.2%,60.6%,47.1%,55.1%,45.1%,50.1%,1.00
Finals,1,1,0,100.0%,2-0,100.0%,12-8,60.0%,0-0,-,1,-,-,5.9%,1.5%,67.6%,71.7%,13.6%,52.9%,52.3%,52.6%,1.11
Semi-finals,10,1,9,10.0%,5-18,21.7%,86-126,40.6%,0-2,0.0%,6,57.1%,42.9%,2.3%,1.9%,62.1%,62.6%,42.6%,55.0%,40.5%,47.6%,0.90
Quarter-finals,28,9,19,32.1%,27-40,40.3%,297-337,46.8%,7-3,70.0%,25,59.0%,32.9%,3.1%,3.1%,59.6%,59.6%,44.2%,53.4%,42.8%,48.2%,0.92
vs Righties,400,176,224,44.0%,416-489,46.0%,4050-4283,48.6%,47-42,52.8%,312,60.8%,38.2%,3.1%,2.9%,58.0%,62.1%,45.0%,54.9%,43.7%,49.3%,0.97
vs Lefties,32,14,18,43.8%,38-38,50.0%,349-348,50.1%,6-2,75.0%,27,62.7%,34.8%,2.9%,2.6%,58.9%,63.8%,46.2%,56.6%,43.5%,50.1%,1.00
vs Top 10,52,13,39,25.0%,36-82,30.5%,468-636,42.4%,6-7,46.2%,49,58.3%,27.6%,2.6%,2.8%,59.1%,61.1%,42.2%,53.4%,40.1%,46.9%,0.86
