Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 Wimbledon R64,L vs Wozniacki,87.0,95.5,9.8,92.1,92.9,113,71,74.4,5.1,72.0,71.5,83,63
2017 Roland Garros R64,L vs Svitolina,88.0,97.9,8.5,,,112,79,75.7,4.7,,,87,67
2017 Australian Open R128,L vs Radwanska,89.4,96.7,7.6,103.9,91.6,112,82,75.4,4.4,80.0,73.0,85,69
2016 US Open R64,L vs Konta,88.9,99.0,11.6,,,117,77,75.3,3.9,,,83,65
2016 Wimbledon R128,L vs Bencic,85.8,95.1,8.9,96.3,92.2,113,82,76.9,3.8,79.1,76.0,85,70
2016 Roland Garros QF,L vs Stosur,86.0,90.5,8.0,99.8,89.8,110,73,77.1,5.9,81.2,87.0,90,65
2016 Roland Garros R16,W vs Radwanska,86.6,95.3,8.1,97.8,94.1,111,78,74.8,4.3,80.0,71.0,83,67
2016 Roland Garros R32,W vs Stephens,90.6,102.8,7.5,,,112,90,76.2,5.7,,,88,69
2016 Roland Garros R64,W vs Larsson,88.3,97.8,8.7,,,111,72,72.3,4.9,,,85,64
2015 Wimbledon R128,L vs Bencic,89.8,99.4,7.8,,,113,82,76.6,3.6,,,87,70
2015 Roland Garros R32,L vs Stephens,84.7,95.3,8.5,,,109,81,75.8,4.6,,,88,66
2015 Australian Open R64,L vs Cibulkova,93.6,103.1,8.3,,,112,83,79.1,6.3,,,89,67
2014 US Open R64,L vs Jankovic,92.1,99.8,7.3,,,115,83,75.8,5.8,,,86,65
2014 Roland Garros R64,L vs Sharapova,89.9,98.2,8.7,,,112,77,76.0,4.8,,,85,68
2014 Roland Garros R128,W vs Beck,87.6,97.5,8.9,,,111,76,71.3,4.1,,,83,62
2014 Australian Open R64,L vs Stosur,89.0,,,,,114,,,,,,,64
2013 Wimbledon R16,L vs Radwanska,91.3,,,,,113,,,,,,,70
2013 Wimbledon R128,W vs Pavlyuchenkova,89.6,,,,,110,,,,,,,67
2012 US Open R16,L vs Ivanovic,92.8,,,,,112,,,,,,,73
2012 US Open R32,W vs Soler Espinosa,89.9,,,,,115,,,,,,,66
Career (30 matches),,89.1,97.3,8.2,98.4,92.1,117,71,75.2,4.6,79.5,74.2,90,61
