Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-08-04),1035,12,,,,,,,,,,,,
2024,484,82,235,1514,283,1415,203,1497,,,,,,
2023,218,290,280,1460,288,1404,245,1438,225,1385,,,,
2022,187,301,262,1480,287,1396,238,1450,190,1440,,,,
2021,305,173,293,1428,,,273,1400,,,,,,
2020,289,174,,,,,,,,,438,99,,
2019,406,85,330,1411,369,1320,278,1404,,,479,84,,
2018,503,11,,,,,,,,,,,,
2017,415,93,,,,,,,,,502,104,,
2016,495,76,,,,,,,,,666,74,,
2015,517,70,,,,,,,,,575,97,,
2014,793,23,,,,,,,,,581,90,,
2013,1153,7,,,,,,,,,875,36,,
2012,1260,4,,,,,,,,,1504,6,,
