Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-07-03),,,,,,,,,,,43,1675,,
2021,969,21,,,,,,,,,,,,
2020,659,46,,,,,,,,,94,948,,
2019,570,56,329,1219,323,1174,305,1221,,,99,877,,
2018,357,105,,,,,,,,,109,730,,
2017,457,76,,,,,,,,,183,405,,
2016,426,80,,,,,,,,,195,341,,
2015,451,67,,,,,,,,,432,104,,
2014,719,22,,,,,,,,,428,96,,
2013,387,111,,,,,,,,,362,162,,
2012,538,52,,,,,,,,,383,128,,
2011,941,13,,,,,,,,,1117,12,,
2010,1125,3,,,,,,,,,911,15,,
