Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Barcelona R32,L vs Lopez,0% (0/8),- (0/0),0/4,50% (4/8),0% (0/4),0/0,0/0,1/1,0/0,1/1
2017 Barcelona R64,W vs Garcia Lopez,60% (6/10),83% (5/6),2/3,60% (6/10),50% (3/6),2/5,2/2,0/0,1/1,0/0
2017 Sophia Antipolis CH R32,L vs Napolitano,13% (1/8),0% (0/1),0/3,71% (5/7),20% (1/5),0/0,0/0,0/1,0/0,0/0
2017 Marseille Q2,L vs Rublev,33% (3/9),33% (1/3),0/4,63% (5/8),20% (1/5),0/1,0/0,1/1,0/0,1/1
2017 Marseille Q1,W vs Fucsovics,15% (2/13),100% (2/2),0/2,31% (4/13),25% (1/4),2/2,2/2,0/1,1/1,0/0
2017 Rotterdam Q1,L vs Struff,14% (1/7),0% (0/1),0/5,83% (5/6),0% (0/5),0/0,0/0,0/0,0/0,0/0
2017 Montpellier Q1,L vs Eysseric,36% (4/11),75% (3/4),1/3,45% (5/11),0% (0/5),2/3,0/0,1/3,0/0,1/2
2016 Szczecin CH R16,W vs Vatutin,71% (10/14),70% (7/10),4/7,64% (9/14),11% (1/9),4/7,2/2,1/2,1/1,1/1
2016 Szczecin CH R32,W vs Cias,20% (3/15),100% (3/3),0/2,29% (4/14),50% (2/4),3/3,1/1,1/1,1/1,0/0
2016 Genova CH R32,L vs Kovalik,10% (1/10),100% (1/1),0/2,33% (3/9),0% (0/3),0/1,0/0,1/2,0/0,1/1
2016 Como CH R16,L vs Langer,36% (4/11),25% (1/4),1/1,18% (2/11),0% (0/2),1/1,0/0,0/1,0/0,0/1
2016 Como CH R32,W vs Ignatik,67% (6/9),67% (4/6),0/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2016 Kitzbuhel R32,L vs Melzer,12% (2/17),50% (1/2),0/2,18% (3/17),33% (1/3),0/0,0/0,1/1,0/0,1/1
2016 Bastad R16,L vs Verdasco,11% (1/9),0% (0/1),0/3,75% (6/8),50% (3/6),0/0,0/0,0/0,0/0,0/0
2016 Bastad R32,W vs Ymer,44% (4/9),75% (3/4),0/0,0% (0/9),- (0/0),3/3,2/2,0/0,1/1,0/0
2016 Bastad CH QF,L vs Berlocq,38% (5/13),80% (4/5),0/4,50% (6/12),17% (1/6),2/4,1/1,0/1,0/0,0/0
2016 Bastad CH R16,W vs Zemlja,56% (5/9),80% (4/5),0/0,13% (1/8),100% (1/1),3/3,1/1,0/0,0/0,0/0
2016 Bastad CH R32,W vs Velotti,60% (6/10),100% (6/6),3/3,30% (3/10),0% (0/3),4/6,2/3,0/0,1/2,0/0
2016 Wimbledon R128,L vs Millman,11% (3/27),100% (3/3),0/2,19% (5/26),20% (1/5),2/3,2/2,3/5,0/0,1/1
2016 Blois CH R32,L vs Clezar,19% (3/16),67% (2/3),1/2,25% (4/16),50% (2/4),1/2,1/1,3/3,0/0,1/1
2017 (7 matches),,25.8%,64.7%,12.5%,54.0%,17.6%,54.5%,100.0%,42.9%,100.0%,75.0%
2016 (39 matches),,36.4%,70.1%,32.9%,31.2%,29.0%,76.2%,79.5%,75.0%,75.0%,87.5%
2015 (46 matches),,44.5%,74.6%,27.1%,35.4%,29.8%,83.0%,78.8%,60.9%,80.0%,55.0%
2014 (35 matches),,33.1%,66.4%,11.8%,34.7%,32.6%,79.5%,90.9%,71.2%,100.0%,72.2%
2013 (42 matches),,35.0%,66.1%,18.1%,40.0%,36.2%,78.1%,84.8%,69.0%,92.9%,64.7%
Career (216 matches),,38.3%,70.9%,24.6%,36.9%,29.6%,78.7%,81.6%,67.1%,83.3%,66.7%
