Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2016,164,359,149,1607,163,1537,115,1600,157,1482,730,62,,
2015,116,508,119,1640,137,1560,95,1630,139,1511,417,152,,
2014,108,536,84,1715,118,1596,67,1701,,,807,45,,
2013,63,766,75,1740,109,1610,51,1740,99,1577,570,90,,
2012,96,565,67,1754,90,1643,49,1746,87,1599,,,,
2011,53,895,59,1780,65,1689,47,1774,66,1625,276,225,,
2010,25,1495,40,1846,59,1728,26,1835,46,1672,141,565,87,1501
2009,31,1140,43,1819,79,1662,27,1816,66,1621,109,650,86,1516
2008,45,787,61,1775,119,1597,39,1776,100,1542,102,636,85,1537
2007,46,681,96,1689,142,1529,59,1698,152,1477,89,631,82,1437
2006,85,473,138,1610,186,1473,110,1605,142,1450,233,238,,
2005,71,536,124,1638,190,1465,91,1633,122,1488,670,47,,
2004,99,436,156,1583,203,1453,128,1589,133,1474,318,139,,
2003,81,447,117,1657,164,1505,84,1651,123,1485,309,142,,
2002,78,501,143,1610,203,1450,119,1609,125,1491,1220,8,,
2001,65,585,90,1711,187,1492,82,1696,,,1207,7,,
2000,174,225,222,1502,247,1347,193,1485,,,1009,12,,
1999,296,129,,,,,,,,,933,17,,
1998,790,14,,,,,,,,,,,,
