Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2017 Australian Open Q2,W vs Maria,71.2%,57.1%,0.0%,0/0,2.88,61.9%,68.8%,54.5%,0.0%,2.95,95.5%,95.2%,60.0%,0.0%,2.79,25.0%
Career (1 matches),,71.2%,57.1%,0.0%,0.0%,2.88,61.9%,68.8%,54.5%,0.0%,2.95,95.5%,95.2%,60.0%,0.0%,2.79,25.0%
