Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,10,5,5,50.0%,4,3,1,75.0%,1987,1996,R16,4,0.83,3.6%,3.8%,63.9%,67.5%,40.9%,57.9%,34.8%,57.1%,30.2%
Roland Garros,7,Clay,11,4,7,36.4%,6,2,4,33.3%,1987,1995,R32,6,0.97,5.1%,1.9%,65.9%,67.8%,46.8%,60.7%,38.3%,69.4%,40.7%
Wimbledon,9,Grass,25,16,9,64.0%,10,7,3,70.0%,1987,1996,R16,14,1.09,7.2%,4.5%,61.0%,73.4%,46.4%,62.8%,40.5%,60.6%,44.1%
US Open,10,Hard,20,10,10,50.0%,18,9,9,50.0%,1985,1995,QF,8,1.00,7.6%,4.1%,61.7%,73.7%,47.8%,63.7%,36.4%,50.0%,27.9%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,1984,1984,R32,0,,,,,,,,,,
Newport,8,Grass,15,7,8,46.7%,8,2,6,25.0%,1983,1996,SF,5,1.08,8.7%,6.4%,61.6%,75.5%,46.7%,64.4%,38.5%,57.7%,50.0%
Los Angeles,8,Hard,15,7,8,46.7%,6,2,4,33.3%,1986,1995,QF,5,1.03,4.2%,3.9%,61.7%,68.8%,48.2%,60.9%,40.1%,58.1%,35.9%
Washington,7,Hard,21,14,7,66.7%,10,5,5,50.0%,1988,1995,SF,10,0.99,5.4%,5.1%,60.5%,69.6%,43.2%,59.2%,40.4%,61.3%,46.0%
Philadelphia,7,Carpet,13,6,7,46.2%,7,4,3,57.1%,1987,1993,SF,7,1.07,9.2%,5.7%,60.4%,74.7%,45.2%,63.0%,39.7%,71.9%,42.9%
Memphis,7,Hard,10,3,7,30.0%,8,5,3,62.5%,1987,1993,SF,6,1.11,7.1%,6.2%,60.4%,77.3%,47.4%,65.4%,38.4%,56.3%,28.8%
San Francisco,6,Hard,13,7,6,53.8%,7,6,1,85.7%,1987,1993,SF,6,1.04,8.3%,4.2%,65.2%,71.0%,54.9%,65.4%,36.1%,65.8%,36.8%
