Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2001 Masters Cup RR,L vs Hewitt,23.9%,32.8%,38.8%,29.4%,26.8%,39.0%,40.0%,35.9%,22.2%,56.5%,80.0%,20.8%,25.0%,36.8%,37
2001 Masters Cup RR,L vs Agassi,24.2%,37.9%,34.9%,30.5%,29.7%,48.6%,34.6%,40.8%,52.9%,25.0%,50.0%,22.7%,31.8%,35.3%,72
2001 Cincinnati F,L vs Kuerten,27.1%,37.5%,31.8%,31.3%,40.9%,59.1%,38.5%,50.0%,36.4%,72.7%,66.7%,30.8%,38.5%,22.2%,123
2001 Cincinnati SF,W vs Hewitt,42.9%,58.9%,50.0%,51.4%,56.3%,75.0%,71.4%,71.3%,63.6%,38.1%,-,27.3%,40.9%,31.3%,47
2001 Canada F,L vs Pavel,36.5%,62.4%,53.2%,46.0%,48.0%,78.0%,61.5%,64.2%,43.5%,51.9%,-,25.0%,50.0%,42.9%,67
2001 Canada SF,W vs Santoro,27.3%,45.5%,59.0%,39.6%,30.8%,56.4%,66.7%,48.2%,61.1%,57.1%,66.7%,20.0%,20.0%,41.7%,16
2001 Wimbledon F,L vs Ivanisevic,40.7%,58.6%,50.6%,48.2%,50.6%,67.4%,54.5%,62.4%,55.3%,47.1%,33.3%,25.5%,46.8%,45.7%,40
2001 Wimbledon SF,W vs Agassi,41.6%,54.0%,42.4%,46.8%,58.2%,71.4%,41.5%,66.6%,51.1%,52.8%,66.7%,18.5%,31.5%,43.2%,57
2001 Wimbledon QF,W vs Enqvist,52.1%,63.8%,47.5%,58.0%,57.8%,65.6%,44.4%,66.4%,51.6%,54.5%,50.0%,48.0%,72.0%,53.8%,173
2001 Halle QF,W vs Federer,41.7%,58.3%,58.8%,52.6%,51.5%,72.1%,66.7%,67.9%,42.3%,50.0%,100.0%,30.8%,42.3%,44.4%,157
2001 Miami SF,L vs Agassi,31.6%,46.8%,36.0%,39.6%,40.4%,59.6%,53.6%,53.8%,32.1%,52.6%,100.0%,21.4%,32.1%,13.6%,88
2001 Miami R16,W vs Corretja,37.7%,54.1%,54.8%,46.6%,35.3%,52.9%,54.5%,51.2%,44.4%,25.0%,0.0%,55.0%,75.0%,55.6%,314
2001 Australian Open SF,L vs Agassi,33.3%,56.2%,52.1%,45.2%,42.7%,71.9%,69.1%,61.7%,45.8%,47.9%,50.0%,19.6%,33.3%,29.3%,75
2001 Australian Open QF,W vs Hrbaty,35.6%,51.7%,55.1%,44.9%,47.8%,71.6%,77.1%,64.2%,41.4%,52.6%,0.0%,22.7%,29.5%,32.4%,102
2000 Lyon F,L vs Clement,41.8%,58.2%,43.6%,49.0%,50.9%,67.9%,50.0%,61.7%,28.6%,37.5%,50.0%,31.6%,52.6%,30.8%,65
2000 Wimbledon F,L vs Sampras,31.9%,39.9%,42.4%,35.7%,52.3%,63.1%,45.2%,60.5%,50.0%,40.0%,40.0%,22.2%,31.1%,40.0%,45
2000 Wimbledon SF,W vs Agassi,32.3%,53.3%,51.9%,43.4%,34.7%,59.4%,53.0%,53.0%,54.2%,47.2%,40.0%,32.2%,49.2%,50.0%,82
1999 Cincinnati F,L vs Sampras,33.9%,41.1%,37.5%,34.8%,61.5%,65.4%,10.0%,63.5%,40.0%,81.3%,-,17.6%,35.3%,57.1%,5
1999 Cincinnati SF,W vs Kafelnikov,53.5%,72.1%,68.4%,60.9%,63.6%,75.8%,58.3%,73.3%,69.2%,35.0%,-,22.2%,66.7%,85.7%,72
1999 Wimbledon QF,W vs Martin,31.5%,43.6%,44.9%,37.6%,44.4%,61.1%,50.0%,56.9%,56.0%,34.0%,50.0%,34.1%,47.7%,37.9%,47
Career (55 matches),,34.9%,50.7%,48.3%,42.6%,44.7%,63.5%,53.4%,57.8%,44.7%,45.2%,46.3%,27.4%,42.3%,41.0%,103
