Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2001 Masters Cup RR,L vs Agassi,33% (3/9),67% (2/3),1/5,78% (7/9),29% (2/7),1/2,0/0,0/0,0/0,0/0
2001 Masters Cup RR,L vs Hewitt,30% (3/10),33% (1/3),1/4,60% (6/10),33% (2/6),1/1,0/0,1/1,0/0,1/1
2001 Cincinnati SF,W vs Hewitt,33% (3/9),100% (3/3),0/1,10% (1/10),0% (0/1),2/2,1/1,0/0,1/1,0/0
2001 Canada SF,W vs Santoro,50% (4/8),100% (4/4),0/0,25% (2/8),100% (2/2),2/2,0/0,0/0,0/0,0/0
2001 Wimbledon F,L vs Ivanisevic,15% (4/26),75% (3/4),0/3,12% (3/25),0% (0/3),2/2,1/1,2/2,0/0,0/0
2001 Wimbledon SF,W vs Agassi,21% (5/24),100% (5/5),0/4,33% (8/24),50% (4/8),3/3,1/1,3/3,0/0,1/1
2001 Wimbledon QF,W vs Enqvist,43% (6/14),83% (5/6),0/1,14% (2/14),50% (1/2),4/4,1/1,0/0,0/0,0/0
2001 Miami SF,L vs Agassi,8% (1/13),100% (1/1),0/5,46% (6/13),0% (0/6),1/1,0/0,0/1,0/0,0/1
2001 Miami R16,W vs Corretja,50% (5/10),80% (4/5),1/1,22% (2/9),50% (1/2),2/3,1/1,0/0,0/0,0/0
2001 Australian Open SF,L vs Agassi,12% (3/25),67% (2/3),0/3,25% (6/24),33% (2/6),1/1,0/0,1/2,0/0,1/1
2001 Australian Open QF,W vs Hrbaty,53% (10/19),80% (8/10),1/2,16% (3/19),33% (1/3),6/7,2/3,1/1,1/1,0/0
2000 Wimbledon SF,W vs Agassi,27% (7/26),71% (5/7),0/4,26% (7/27),43% (3/7),1/3,1/2,1/1,1/1,0/0
1999 Cincinnati SF,W vs Kafelnikov,33% (3/9),100% (3/3),0/0,0% (0/9),- (0/0),1/1,0/0,0/0,0/0,0/0
1999 Wimbledon SF,L vs Agassi,6% (1/16),0% (0/1),0/2,38% (6/16),50% (3/6),0/0,0/0,0/1,0/0,0/1
1999 Rome SF,W vs Mantilla,30% (3/10),100% (3/3),0/1,9% (1/11),0% (0/1),3/3,2/2,1/1,1/1,0/0
1998 US Open F,W vs Philippoussis,56% (9/16),67% (6/9),0/1,13% (2/16),50% (1/2),4/4,1/1,1/1,0/0,0/0
1998 US Open SF,W vs Sampras,24% (6/25),67% (4/6),0/1,13% (3/24),33% (1/3),3/3,2/2,0/1,0/0,0/0
1998 US Open QF,W vs Bjorkman,43% (6/14),83% (5/6),0/1,13% (2/15),50% (1/2),3/4,2/2,1/1,1/1,0/0
1998 Long Island F,W vs Mantilla,50% (5/10),40% (2/5),0/0,10% (1/10),100% (1/1),2/2,1/1,0/0,1/1,0/0
1998 Cincinnati SF,W vs Kafelnikov,56% (5/9),80% (4/5),0/0,0% (0/9),- (0/0),4/4,2/2,1/1,1/1,0/0
2001 (11 matches),,28.1%,80.9%,13.8%,27.9%,32.6%,89.3%,87.5%,80.0%,100.0%,75.0%
2000 (1 matches),,26.9%,71.4%,0.0%,25.9%,42.9%,33.3%,50.0%,100.0%,100.0%,-
1999 (3 matches),,20.0%,85.7%,0.0%,19.4%,42.9%,100.0%,100.0%,50.0%,100.0%,0.0%
1998 (6 matches),,41.0%,70.6%,0.0%,9.6%,50.0%,95.0%,100.0%,75.0%,100.0%,-
1997 (7 matches),,29.3%,62.1%,36.8%,31.7%,34.4%,87.5%,75.0%,71.4%,100.0%,66.7%
Career (33 matches),,29.6%,71.3%,15.9%,25.9%,37.3%,88.6%,87.9%,68.8%,100.0%,63.6%
