Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2001,66,48,18,72.7%,125-55,69.4%,984-771,56.1%,19-9,67.9%,60,87.4%,23.8%,10.0%,4.3%,64.9%,76.8%,53.4%,68.6%,37.7%,52.8%,1.20,W (Indianapolis)
2000,53,34,19,64.2%,85-51,62.5%,742-622,54.4%,14-16,46.7%,48,87.8%,20.2%,8.9%,3.7%,64.5%,76.5%,54.8%,68.8%,36.6%,52.4%,1.17,W (s Hertogenbosch)
1999,55,38,17,69.1%,97-48,66.9%,812-638,56.0%,16-15,51.6%,50,84.7%,26.8%,8.1%,3.8%,64.9%,75.3%,52.7%,67.4%,39.4%,53.1%,1.21,W (2x)
1998,81,60,21,74.1%,142-69,67.3%,1161-903,56.3%,23-20,53.5%,77,87.6%,24.7%,8.9%,3.9%,65.2%,76.8%,53.8%,68.8%,39.2%,53.6%,1.26,W (6x)
1997,93,65,28,69.9%,153-99,60.7%,1346-1143,54.1%,23-23,50.0%,82,84.9%,24.3%,8.3%,4.9%,60.6%,76.0%,51.5%,66.3%,38.3%,52.4%,1.14,W (US Open)
1996,47,26,21,55.3%,63-50,55.8%,601-509,54.1%,5-15,25.0%,46,84.7%,24.7%,8.5%,4.7%,58.0%,75.8%,53.3%,66.4%,37.9%,51.9%,1.13,QF (4x)
1995,57,32,25,56.1%,79-71,52.7%,742-730,50.4%,15-11,57.7%,55,79.9%,20.4%,8.2%,5.0%,58.8%,73.3%,49.3%,63.4%,36.5%,50.2%,1.00,SF (Washington)
1994,73,45,28,61.6%,115-83,58.1%,1007-967,51.0%,23-11,67.6%,68,83.5%,17.5%,9.6%,4.7%,59.3%,75.7%,50.1%,65.3%,35.5%,50.6%,1.02,W (Manchester)
1993,22,11,11,50.0%,30-30,50.0%,282-294,49.0%,6-2,75.0%,22,79.2%,18.0%,6.9%,5.3%,60.0%,73.5%,45.6%,62.3%,35.8%,49.5%,0.95,SF (Indianapolis)
1992,3,0,3,0.0%,2-7,22.2%,32-50,39.0%,0-1,0.0%,3,58.5%,20.0%,2.9%,5.7%,51.6%,63.2%,44.4%,54.1%,37.0%,45.8%,0.81,R32 (Brisbane)
1991,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,44.4%,12.5%,3.4%,0.0%,53.4%,51.6%,44.4%,48.3%,26.2%,39.0%,0.51,R32 (Brisbane)
Career,551,359,192,65.2%,891-565,61.2%,7714-6639,53.7%,144-123,53.9%,512,84.7%,22.5%,8.7%,4.4%,61.9%,75.6%,51.7%,66.5%,37.6%,52.0%,1.12,
