Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Doha R32,W vs Zayid,75.0%,63.3%,2.5%,0/1,2.50,16.7%,90.5%,63.2%,4.8%,2.71,30.8%,84.6%,63.6%,0.0%,2.27,0.0%
2025 Athens R32,L vs Korda,63.4%,40.4%,2.4%,1/1,2.53,19.6%,56.6%,40.0%,1.9%,2.50,30.4%,78.6%,40.9%,3.6%,2.56,8.7%
2025 US Open R64,L vs Sinner,59.3%,41.7%,8.6%,4/3,2.25,5.5%,56.1%,34.8%,12.2%,2.17,9.4%,69.4%,48.0%,5.6%,2.35,0.0%
2025 Wimbledon R128,L vs Fery,66.7%,44.7%,6.1%,2/5,2.29,24.7%,70.6%,47.9%,5.9%,2.28,43.2%,65.9%,41.4%,6.8%,2.31,5.6%
2025 Monte Carlo QF,L vs Davidovich Fokina,68.1%,31.3%,4.3%,1/1,2.38,0.0%,68.8%,27.3%,3.1%,2.19,0.0%,66.7%,40.0%,6.7%,2.67,0.0%
2025 Monte Carlo R16,W vs Ruud,79.7%,45.9%,0.8%,0/1,2.13,9.5%,81.2%,39.1%,1.2%,2.07,11.8%,80.6%,62.1%,0.0%,2.23,6.1%
2024 Brisbane R32,L vs Arnaldi,55.6%,43.3%,7.4%,1/3,2.28,22.2%,58.3%,50.0%,12.5%,2.33,33.3%,59.3%,37.5%,3.7%,2.17,0.0%
2024 Paris R16,L vs Khachanov,61.8%,40.5%,4.4%,2/1,1.95,37.5%,62.7%,40.6%,0.0%,1.88,75.0%,66.7%,40.0%,20.0%,2.03,0.0%
2024 US Open R32,W vs Djokovic,56.2%,50.7%,6.9%,6/3,2.12,3.6%,61.8%,46.8%,7.9%,2.03,6.8%,65.0%,57.7%,7.5%,2.22,0.0%
2024 Cincinnati R64,L vs Monfils,65.6%,37.5%,3.3%,1/1,-,13.5%,63.6%,33.3%,0.0%,-,20.0%,76.0%,42.1%,8.0%,-,5.9%
2024 Canada F,W vs Rublev,72.6%,57.8%,0.0%,0/0,-,4.8%,85.2%,43.5%,0.0%,-,9.5%,73.3%,72.7%,0.0%,-,0.0%
2024 Canada SF,W vs Korda,69.9%,56.9%,5.5%,4/0,-,12.5%,70.7%,48.3%,0.0%,-,21.7%,81.5%,68.2%,14.8%,-,0.0%
2024 Canada QF,W vs Hurkacz,72.3%,52.9%,1.4%,1/1,2.36,20.3%,68.8%,45.5%,0.0%,2.28,33.3%,81.0%,61.7%,3.4%,2.48,0.0%
2024 Canada R64,W vs Machac,65.1%,53.7%,0.0%,0/0,-,33.3%,66.7%,42.3%,0.0%,-,70.0%,83.3%,73.3%,0.0%,-,0.0%
2024 Olympics R16,L vs Zverev,43.1%,40.9%,3.9%,0/2,1.98,4.7%,40.6%,38.5%,0.0%,1.85,7.4%,50.0%,44.4%,11.1%,2.19,0.0%
2024 Wimbledon R32,L vs Djokovic,49.6%,35.7%,6.2%,6/1,1.93,16.3%,43.6%,26.5%,5.1%,1.84,23.2%,68.8%,50.0%,9.4%,2.13,0.0%
2024 Roland Garros R128,L vs Kokkinakis,64.9%,42.0%,4.5%,1/6,2.20,9.5%,57.9%,36.4%,6.3%,2.31,16.2%,83.3%,48.9%,1.9%,2.06,0.0%
2024 Monte Carlo R16,L vs De Minaur,72.1%,29.0%,2.3%,1/0,2.23,2.3%,71.4%,45.0%,0.0%,2.02,3.8%,73.3%,0.0%,6.7%,2.50,0.0%
2024 Miami R64,W vs Lehecka,49.0%,64.0%,2.0%,1/0,2.54,31.0%,42.9%,60.0%,2.9%,2.57,56.3%,71.4%,70.0%,0.0%,2.50,0.0%
2024 Australian Open R64,L vs Djokovic,65.5%,41.0%,3.4%,0/4,2.18,15.4%,58.9%,30.2%,2.7%,2.05,28.6%,76.1%,54.3%,4.3%,2.33,0.0%
Career (37 matches),,64.6%,45.1%,3.6%,44.6%,2.23,17.4%,62.3%,41.6%,2.8%,2.17,28.2%,77.0%,50.0%,5.6%,2.31,2.7%
