Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),45,1010,81,1730,87,1675,40,1739,77,1609,,,,
2025,53,1000,46,1800,49,1748,32,1774,62,1644,,,,
2024,24,1865,27,1875,25,1825,27,1780,36,1705,863,45,,
2023,40,1084,75,1739,89,1661,33,1764,84,1589,,,,
2022,120,469,182,1578,179,1526,123,1602,125,1541,,,,
2021,61,1000,97,1693,86,1655,97,1650,92,1584,,,,
2020,113,623,123,1619,118,1577,147,1531,,,1155,17,,
2019,97,585,76,1741,78,1692,112,1597,67,1643,278,197,,
2018,147,367,94,1699,84,1670,165,1517,,,,,,
2017,622,43,,,,,,,,,,,,
2016,1155,7,,,,,,,,,1581,6,,
