Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,17,8,9,47.1%,20,10,10,50.0%,2018,2026,R32,17,1.03,12.9%,4.0%,63.7%,76.3%,53.0%,67.8%,33.0%,69.1%,30.2%
Roland Garros,7,Clay,11,4,7,36.4%,8,4,4,50.0%,2019,2025,R16,11,0.91,8.1%,3.5%,62.8%,74.7%,49.9%,65.5%,31.6%,63.5%,27.1%
Wimbledon,6,Grass,12,6,6,50.0%,8,4,4,50.0%,2019,2025,R32,12,1.02,13.9%,3.3%,63.9%,76.4%,49.6%,66.7%,34.0%,65.7%,39.6%
US Open,6,Hard,15,9,6,60.0%,13,7,6,53.8%,2019,2025,R16,15,1.06,11.9%,6.0%,58.3%,75.6%,47.9%,64.1%,38.2%,68.1%,38.9%
Olympics,1,,3,2,1,66.7%,1,1,0,100.0%,2024,2024,R16,2,1.42,12.7%,5.1%,67.8%,83.8%,52.6%,73.7%,37.4%,50.0%,50.0%
Davis Cup,4,,7,4,3,57.1%,3,2,1,66.7%,2019,2024,,7,1.13,10.1%,2.2%,63.5%,75.0%,54.6%,67.5%,36.7%,64.0%,30.6%
Miami Masters,7,Hard,13,6,7,46.2%,7,5,2,71.4%,2019,2026,R32,13,0.94,12.8%,3.3%,61.3%,75.9%,48.3%,65.2%,32.6%,62.3%,37.5%
Indian Wells Masters,6,Hard,14,7,7,50.0%,4,4,0,100.0%,2019,2026,R32,14,0.95,7.8%,3.8%,58.5%,71.6%,49.5%,62.4%,35.6%,64.6%,31.7%
Dubai,8,Hard,15,6,9,40.0%,8,2,6,25.0%,2017,2026,R16,15,1.04,13.9%,3.2%,61.6%,77.8%,54.5%,68.9%,32.4%,64.1%,41.7%
Doha,4,Hard,9,5,4,55.6%,5,2,3,40.0%,2020,2026,SF,9,1.07,8.8%,3.3%,63.3%,70.5%,57.4%,65.7%,36.7%,44.4%,46.7%
Rotterdam,4,Hard,5,1,4,20.0%,2,1,1,50.0%,2020,2026,R32,5,0.83,8.0%,2.8%,59.4%,70.5%,46.2%,60.6%,32.6%,50.0%,22.7%
Adelaide,2,Hard,2,0,2,0.0%,2,0,2,0.0%,2020,2026,R32,2,1.05,10.6%,3.3%,60.9%,85.9%,52.5%,72.8%,28.5%,66.7%,33.3%
