Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Doha R32,W vs Zayid,3.7,3.4,4.0,70.8%,42.9%,92.3%,80.0%,69.5%,19.4%,11.0,14.7,-0.5,-1.7
2025 Athens R32,L vs Korda,3.0,2.9,3.1,50.9%,36.4%,58.3%,25.0%,56.8%,51.9%,1.0,1.1,-1.5,-4.2
2025 US Open R64,L vs Sinner,3.9,3.9,4.0,36.6%,37.1%,46.7%,53.8%,43.7%,23.1%,3.5,3.6,-4.5,-4.5
2025 Wimbledon R128,L vs Fery,3.0,2.6,3.5,49.4%,36.7%,46.7%,66.7%,52.2%,32.3%,-9.0,-6.7,-12.0,-14.6
2025 Monte Carlo QF,L vs Davidovich Fokina,3.4,3.0,4.0,49.2%,26.1%,27.3%,20.0%,46.4%,10.7%,-6.0,-9.4,-9.5,-14.8
2025 Monte Carlo R16,W vs Ruud,4.1,3.8,4.4,50.0%,51.7%,50.0%,44.4%,50.8%,4.8%,8.0,4.5,0.5,0.3
2024 Brisbane R32,L vs Arnaldi,3.0,2.8,3.1,42.2%,36.4%,57.1%,50.0%,51.0%,25.0%,3.0,6.3,-3.0,-8.3
2024 Paris R16,L vs Khachanov,3.7,4.1,3.3,47.3%,46.2%,53.8%,33.3%,57.6%,37.2%,9.0,8.4,1.0,1.9
2024 US Open R32,W vs Djokovic,3.7,3.9,3.5,48.1%,56.0%,41.4%,72.2%,55.4%,48.8%,24.0,12.8,-4.0,-4.9
2024 Cincinnati R64,L vs Monfils,3.6,3.3,4.0,42.3%,40.7%,45.5%,66.7%,65.9%,20.7%,-8.5,-8.3,-2.0,-4.4
2024 Canada F,W vs Rublev,4.0,4.4,3.6,59.7%,66.7%,35.7%,45.5%,52.4%,29.7%,9.0,10.0,-3.0,-4.2
2024 Canada SF,W vs Korda,3.5,3.2,3.8,56.6%,55.6%,56.3%,25.0%,44.0%,33.3%,9.0,11.8,-3.0,-3.9
2024 Canada QF,W vs Hurkacz,3.5,3.3,3.6,50.0%,47.3%,65.0%,62.5%,55.3%,14.4%,17.0,9.7,-3.0,-2.3
2024 Canada R64,W vs Machac,2.7,2.4,2.8,61.0%,57.9%,37.5%,50.0%,45.7%,12.7%,9.5,23.8,0.5,0.9
2024 Olympics R16,L vs Zverev,2.8,3.2,2.3,47.2%,28.0%,50.0%,20.0%,60.7%,13.0%,-3.5,-5.5,-1.5,-3.8
2024 Wimbledon R32,L vs Djokovic,3.2,3.5,2.7,47.9%,34.5%,62.5%,30.0%,50.2%,59.3%,13.5,11.3,-4.5,-9.0
2024 Roland Garros R128,L vs Kokkinakis,3.8,3.9,3.7,44.4%,54.8%,41.9%,31.6%,59.4%,20.1%,16.5,6.4,-4.0,-2.9
2024 Monte Carlo R16,L vs De Minaur,4.0,4.0,4.0,46.4%,44.4%,30.0%,0.0%,51.9%,12.0%,3.0,3.8,-11.5,-17.7
2024 Miami R64,W vs Lehecka,2.5,2.7,2.2,57.6%,53.3%,40.0%,0.0%,58.0%,16.2%,7.0,16.7,1.0,3.4
2024 Australian Open R64,L vs Djokovic,4.3,4.6,4.0,44.2%,46.2%,43.3%,63.2%,55.4%,27.3%,11.0,5.5,0.0,0.0
Career (37 matches),,3.5,3.5,3.6,49.7%,46.6%,48.5%,48.2%,55.4%,26.3%,6.1,5.3,-2.2,-3.1
