Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2018 Chicago R32,L vs Maria,0.93,0.77,56.5,2.7,0.0%,41.7%,0.0%,46.9%,47.2%,45.5%
2018 Chicago Q2,W vs Kratzer,1.11,1.50,55.6,2.6,3.2%,67.7%,3.4%,75.9%,35.5%,41.4%
2018 Chicago Q1,W vs Krajicek,1.14,1.63,47.8,2.5,4.2%,66.7%,19.0%,61.9%,55.6%,46.2%
2018 US Open Q1,L vs Rybakina,0.87,0.70,51.6,2.1,0.0%,48.3%,0.0%,42.3%,42.5%,45.9%
2018 Montreal Q1,L vs Bondarenko,0.98,0.89,71.7,2.5,7.5%,47.2%,3.9%,47.1%,38.3%,58.1%
2018 San Jose Q2,L vs Lao,0.93,0.59,41.4,2.2,4.0%,40.0%,0.0%,39.1%,41.7%,35.0%
2018 San Jose Q1,W vs Cako,1.03,1.40,60.1,2.3,6.5%,61.3%,0.0%,63.0%,50.0%,53.3%
2018 Wimbledon Q2,L vs Lottner,0.90,0.81,49.1,2.0,0.0%,48.8%,2.4%,48.8%,40.7%,52.0%
2018 Wimbledon Q1,W vs Martincova,1.04,1.53,38.1,2.1,3.6%,64.3%,0.0%,55.6%,56.3%,61.3%
2018 Nottingham R16,L vs Buzarnescu,1.01,0.82,55.6,2.2,1.9%,52.8%,2.0%,50.0%,31.8%,48.6%
2018 Nottingham R32,W vs Rodionova,1.26,1.68,46.2,2.1,5.9%,61.8%,0.0%,48.5%,54.2%,65.2%
2018 Nottingham Q2,W vs Bains,0.94,1.18,74.6,3.4,3.5%,57.9%,0.0%,74.1%,39.7%,46.6%
2018 Nottingham Q1,W vs Christie,1.17,2.12,32.7,2.2,0.0%,72.0%,0.0%,73.9%,50.0%,48.0%
2018 Roland Garros Q1,L vs Dolehide,0.75,0.64,42.1,2.1,0.0%,47.1%,0.0%,66.7%,40.7%,33.3%
2018 Bogota R32,L vs Schmiedlova,0.83,0.80,57.3,2.5,0.0%,43.6%,0.0%,54.3%,51.0%,49.0%
2018 Monterrey R32,L vs Vickery,0.92,0.69,46.6,2.0,0.0%,46.4%,0.0%,55.6%,36.8%,36.4%
2018 Australian Open R128,L vs Saville,1.05,0.65,41.2,2.4,0.0%,42.3%,0.0%,26.9%,36.4%,44.4%
2018 Australian Open Q3,W vs Hon,1.00,1.66,42.9,2.2,3.2%,61.3%,3.6%,64.3%,56.5%,68.4%
2018 Australian Open Q1,W vs Eraydin,1.32,3.24,27.3,2.1,0.0%,72.2%,0.0%,75.0%,52.4%,78.9%
2017 Waco TX $80K R16,L vs Eikeri,1.01,0.83,59.0,2.2,0.0%,40.5%,0.0%,45.0%,44.4%,50.0%
2018 (19 matches),,0.99,1.03,52.3,2.3,2.5%,54.0%,1.7%,56.0%,44.1%,49.8%
2017 (36 matches),,1.01,1.04,58.9,2.7,1.9%,55.1%,1.4%,54.0%,46.3%,47.2%
2016 (32 matches),,1.01,1.00,58.9,2.7,2.5%,55.1%,1.6%,54.1%,46.2%,43.2%
2015 (29 matches),,1.02,1.03,53.9,2.6,3.3%,55.2%,2.1%,54.0%,45.0%,46.6%
2014 (21 matches),,1.02,0.98,53.3,2.6,0.7%,53.7%,0.6%,49.9%,46.5%,45.5%
Career (174 matches),,1.00,0.98,56.5,2.6,2.0%,54.3%,1.4%,52.6%,45.6%,45.9%
