Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2022 Buenos Aires R32,L vs Delbonis,6,23,0.3,6.1%,23.5%,5,23,0.2,5.4%,24.7%,5.4%,0.0%,1.3,25.5%,19.4%
2019 Queen's Club R32,W vs Shapovalov,18,11,1.6,15.1%,9.2%,7,9,0.8,7.4%,9.6%,5.3%,2.1%,1.2,21.8%,17.6%
2019 Roland Garros R16,L vs Khachanov,30,40,0.8,11.8%,15.7%,30,40,0.8,13.2%,17.6%,,,1.6,20.0%,12.2%
2019 Roland Garros R32,W vs Thompson,26,15,1.7,16.1%,9.3%,26,15,1.7,18.8%,10.9%,,,0.8,15.5%,18.6%
2019 Roland Garros R64,W vs Nishioka,52,61,0.9,16.2%,19.0%,52,61,0.9,17.7%,20.8%,,,1.2,13.7%,11.2%
2019 Roland Garros R128,W vs Jarry,12,19,0.6,5.9%,9.4%,12,19,0.6,6.7%,10.7%,,,1.1,18.8%,17.8%
2019 Rome Masters QF,L vs Djokovic,39,43,0.9,18.3%,20.2%,27,42,0.6,14.1%,22.0%,9.9%,4.2%,1.2,20.2%,16.4%
2019 Rome Masters R16,W vs Ruud,28,27,1.0,22.6%,21.8%,20,25,0.8,18.2%,22.7%,13.6%,4.5%,1.2,18.5%,16.1%
2019 Rome Masters R32,W vs Goffin,23,14,1.6,21.9%,13.3%,15,12,1.3,16.7%,13.3%,8.9%,7.8%,0.6,16.2%,26.7%
2019 Delray Beach QF,L vs Mcdonald,34,27,1.3,19.4%,15.4%,18,21,0.9,12.9%,15.0%,9.3%,3.6%,1.6,29.7%,18.9%
2019 Delray Beach R16,W vs Opelka,14,6,2.3,12.4%,5.3%,8,6,1.3,9.3%,7.0%,5.8%,2.3%,1.2,23.0%,18.6%
2019 Delray Beach R32,W vs Nishioka,35,39,0.9,25.7%,28.7%,23,35,0.7,19.8%,30.2%,15.5%,4.3%,0.5,8.8%,16.9%
2018 Shanghai Masters R32,W vs Gasquet,24,28,0.9,15.6%,18.2%,15,26,0.6,11.5%,19.8%,7.6%,3.8%,1.3,20.8%,15.6%
2018 Beijing F,L vs Basilashvili,18,22,0.8,12.8%,15.6%,7,22,0.3,5.7%,18.0%,2.5%,0.8%,0.9,21.3%,24.8%
2018 Beijing QF,W vs Krajinovic,27,7,3.9,32.1%,8.3%,15,6,2.5,22.1%,8.8%,16.2%,5.9%,0.7,14.3%,20.2%
2018 Beijing R16,W vs Khachanov,28,23,1.2,20.7%,17.0%,17,22,0.8,14.7%,19.0%,12.9%,1.7%,1.1,17.0%,15.6%
2018 Beijing R32,W vs Ramos,33,25,1.3,27.3%,20.7%,23,24,1.0,22.5%,23.5%,15.7%,6.9%,0.5,11.6%,21.5%
2018 US Open F,L vs Djokovic,31,47,0.7,15.0%,22.7%,25,46,0.5,12.7%,23.4%,8.6%,3.6%,0.8,15.5%,18.4%
2018 US Open SF,W vs Nadal,29,19,1.5,21.3%,14.0%,27,19,1.4,20.9%,14.7%,12.4%,7.8%,1.4,19.1%,14.0%
2018 US Open QF,W vs Isner,49,14,3.5,18.4%,5.3%,35,10,3.5,16.1%,4.6%,11.9%,3.2%,1.3,25.2%,19.5%
Career (234 matches),,6964,6202,1.1,16.8%,15.0%,4997,5641,0.9,13.9%,15.7%,7.1%,2.4%,1.1,18.8%,17.3%
