Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,16,6,10,37.5%,15-21,41.7%,154-169,47.7%,0-3,0.0%,0,,,,,,,,,,,,QF (W25 Denver CO)
2018,18,8,10,44.4%,21-23,47.7%,200-211,48.7%,2-4,33.3%,0,,,,,,,,,,,,QF (3x)
2017,34,17,17,50.0%,41-36,53.2%,353-326,52.0%,3-2,60.0%,0,,,,,,,,,,,,W (Istanbul $15K)
2016,15,5,10,33.3%,12-21,36.4%,148-157,48.5%,0-4,0.0%,0,,,,,,,,,,,,QF (2x)
2015,34,18,16,52.9%,36-37,49.3%,324-344,48.5%,4-4,50.0%,0,,,,,,,,,,,,F (Surprise AZ $25K)
2014,38,20,18,52.6%,43-39,52.4%,365-368,49.8%,3-3,50.0%,0,,,,,,,,,,,,SF (3x)
2013,35,16,19,45.7%,38-48,44.2%,363-417,46.5%,3-2,60.0%,0,,,,,,,,,,,,W (El Paso TX 25K)
2012,20,11,9,55.0%,23-21,52.3%,192-180,51.6%,1-1,50.0%,0,,,,,,,,,,,,F (Bethany Beach DE 10K)
2011,2,0,2,0.0%,1-4,20.0%,17-28,37.8%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2010,8,5,3,62.5%,11-10,52.4%,96-95,50.3%,1-0,100.0%,0,,,,,,,,,,,,SF (St Joseph MO 10K)
2008,7,4,3,57.1%,9-7,56.3%,76-58,56.7%,0-0,-,0,,,,,,,,,,,,SF (Houston TX 10K)
2007,1,0,1,0.0%,1-2,33.3%,13-15,46.4%,0-0,-,0,,,,,,,,,,,,R32 (Edmond OK 10K)
2006,11,7,4,63.6%,15-10,60.0%,114-102,52.8%,2-0,100.0%,0,,,,,,,,,,,,SF (Houston TX 10K)
2005,2,1,1,50.0%,2-2,50.0%,17-15,53.1%,0-0,-,0,,,,,,,,,,,,R16 (Houston TX 10K)
2004,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R32 (Houston TX 10K)
Career,242,118,124,48.8%,268-283,48.6%,2438-2497,49.4%,19-23,45.2%,0,,,,,,,,,,,,
