Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Paris R32,W vs Cazaux,25.0%,35.5%,66.7%,34.5%,30.6%,42.9%,73.5%,45.3%,57.9%,23.3%,0.0%,19.0%,28.6%,52.9%,51
2025 Basel F,L vs Fonseca,21.7%,34.8%,40.7%,31.0%,20.0%,36.0%,50.0%,32.8%,50.0%,34.6%,40.0%,26.3%,31.6%,14.3%,-79
2025 Cincinnati R64,L vs Fonseca,33.8%,36.8%,45.0%,34.7%,41.2%,41.2%,50.0%,42.9%,50.0%,25.0%,33.3%,31.0%,37.9%,40.0%,144
2025 Canada R32,W vs Mensik,29.2%,39.6%,60.6%,32.5%,28.0%,36.0%,55.6%,34.4%,64.3%,72.7%,50.0%,31.8%,45.5%,66.7%,-13
2025 Washington F,L vs De Minaur,17.6%,27.8%,50.6%,24.4%,25.0%,32.4%,45.1%,35.7%,57.6%,25.7%,20.0%,5.3%,21.1%,58.3%,-63
2025 Wimbledon R32,L vs Fritz,20.0%,32.3%,49.5%,27.2%,21.6%,37.1%,50.0%,31.2%,52.1%,30.6%,33.3%,16.7%,20.0%,48.0%,49
2025 Monte Carlo SF,L vs Alcaraz,19.3%,28.4%,44.7%,26.7%,22.1%,33.8%,50.0%,32.6%,71.8%,63.2%,63.6%,13.8%,17.2%,32.0%,19
2025 Monte Carlo QF,W vs Popyrin,31.9%,40.4%,68.8%,40.0%,31.3%,43.8%,72.7%,43.1%,46.2%,52.6%,-,33.3%,33.3%,60.0%,-79
2025 Acapulco F,L vs Machac,11.3%,23.9%,59.0%,18.7%,16.7%,33.3%,54.3%,29.3%,50.0%,45.0%,50.0%,3.7%,11.1%,65.4%,-80
2025 Delray Beach F,L vs Kecmanovic,20.0%,31.8%,48.5%,26.0%,25.5%,41.8%,48.8%,34.7%,51.7%,26.9%,25.0%,10.7%,14.3%,48.0%,-8
2024 Canada R32,W vs Medvedev,13.0%,19.5%,56.5%,18.1%,17.8%,24.4%,56.8%,26.4%,54.5%,47.8%,0.0%,7.4%,14.8%,56.0%,-49
2024 Roland Garros R64,L vs Ruud,12.4%,21.7%,55.9%,20.6%,13.9%,24.3%,59.6%,25.4%,48.0%,69.2%,66.7%,9.8%,17.1%,45.9%,-20
2024 Roland Garros R128,W vs Vacherot,24.0%,35.2%,59.1%,31.7%,26.1%,39.8%,55.4%,37.0%,48.6%,37.7%,0.0%,20.0%,25.7%,67.9%,3
2024 Indian Wells R64,L vs Fils,39.0%,42.4%,45.5%,41.7%,56.3%,62.5%,64.3%,61.2%,66.7%,45.0%,0.0%,20.8%,20.8%,31.6%,86
2024 Dubai QF,L vs Medvedev,6.3%,20.8%,46.7%,17.3%,6.3%,28.1%,56.7%,22.8%,58.8%,33.3%,33.3%,6.3%,6.3%,26.7%,-79
2024 Marseille QF,L vs Humbert,26.9%,44.2%,42.9%,34.8%,30.8%,48.7%,40.7%,41.3%,57.9%,30.0%,33.3%,20.0%,40.0%,50.0%,51
2024 United Cup RR,W vs Hurkacz,18.1%,25.3%,60.6%,26.0%,20.4%,32.7%,51.3%,33.9%,36.4%,33.3%,0.0%,15.6%,15.6%,74.1%,10
2023 Paris R64,W vs Shelton,27.6%,40.0%,57.9%,35.3%,32.3%,46.2%,63.6%,44.8%,48.1%,23.7%,0.0%,20.0%,30.0%,50.0%,-79
2023 Shanghai R64,L vs Fils,29.2%,40.0%,42.2%,37.4%,32.6%,47.8%,51.6%,44.1%,50.0%,58.3%,100.0%,22.2%,22.2%,21.4%,1
2023 Canada SF,L vs De Minaur,15.2%,19.6%,25.7%,21.3%,14.8%,22.2%,30.4%,25.2%,31.3%,9.1%,0.0%,20.0%,20.0%,16.7%,56
Career (65 matches),,21.5%,32.0%,49.5%,28.3%,24.8%,37.7%,51.8%,34.9%,47.6%,38.1%,34.5%,16.3%,22.6%,44.8%,46
