Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),17,2220,23,1887,26,1839,23,1813,32,1721,,,,
2025,14,2585,19,1920,19,1873,23,1829,26,1738,,,,
2024,61,845,46,1803,43,1765,44,1749,68,1630,859,45,,
2023,26,1495,28,1856,25,1806,23,1805,39,1679,,,,
2022,31,1280,49,1798,69,1704,33,1790,55,1665,,,,
2021,50,1160,45,1816,55,1734,22,1807,63,1639,,,,
2020,52,1066,31,1826,29,1784,39,1739,,,,,,
2019,87,627,108,1689,119,1611,70,1687,118,1563,960,25,,
2018,237,203,199,1533,226,1455,157,1526,177,1459,560,20,,
2017,496,71,,,,,,,,,1238,15,,
2016,857,18,,,,,,,,,883,41,,
2015,1469,3,,,,,,,,,,,,
