Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R128,W vs Zhang,71.7%,60.5%,1.9%,1/0,2.09,3.4%,65.6%,52.4%,0.0%,1.96,7.7%,89.5%,70.6%,5.3%,2.19,0.0%
2026 Indian Wells R128,L vs Berrettini,62.0%,48.4%,2.0%,1/1,2.24,16.7%,54.3%,47.4%,1.4%,2.09,26.3%,88.9%,50.0%,3.7%,2.48,0.0%
2026 Montpellier F,L vs Auger Aliassime,60.3%,31.4%,3.4%,1/1,2.49,5.1%,53.3%,25.0%,2.2%,2.55,10.0%,91.7%,45.5%,8.3%,2.42,0.0%
2026 Montpellier R32,W vs Martinez,69.1%,50.0%,1.8%,0/1,2.58,11.1%,71.9%,39.1%,0.0%,2.61,17.6%,68.2%,66.7%,4.5%,2.55,5.3%
2026 Australian Open R128,L vs Hijikata,71.9%,40.6%,9.0%,5/3,2.51,14.3%,66.1%,35.1%,0.0%,2.30,19.4%,90.0%,48.1%,26.7%,2.86,5.6%
2025 US Open R128,W vs Griekspoor,60.6%,63.3%,6.1%,0/6,2.30,32.8%,56.1%,53.1%,0.0%,2.04,75.0%,87.5%,75.0%,18.8%,2.47,2.9%
2025 Cincinnati R16,L vs Sinner,51.6%,37.5%,6.5%,1/3,2.19,5.7%,31.3%,10.0%,9.4%,2.25,11.5%,78.6%,50.0%,3.6%,2.13,0.0%
2025 Montpellier R32,L vs Gasquet,60.4%,27.6%,4.2%,2/0,1.96,47.9%,53.6%,13.3%,3.6%,1.98,58.1%,82.4%,42.9%,5.9%,1.91,29.4%
2025 Australian Open R128,L vs Khachanov,64.2%,36.5%,4.9%,1/3,2.26,3.8%,60.4%,28.1%,3.8%,2.35,9.1%,83.3%,50.0%,8.3%,2.19,0.0%
2024 Chengdu QF,L vs Musetti,69.7%,40.3%,5.6%,1/4,2.39,39.3%,63.3%,36.8%,3.3%,2.34,60.5%,88.9%,45.8%,11.1%,2.46,4.3%
2024 US Open R64,L vs Goffin,71.2%,47.1%,4.8%,3/4,2.21,5.4%,73.3%,39.7%,2.3%,2.13,10.7%,82.0%,58.5%,10.0%,2.29,0.0%
2024 Wimbledon R128,L vs Monfils,58.8%,47.1%,2.5%,2/1,2.23,8.7%,55.1%,37.2%,3.8%,2.24,12.1%,69.2%,63.0%,0.0%,2.21,2.6%
2024 Queens Club R32,L vs Dimitrov,39.0%,43.8%,9.8%,2/2,2.24,45.9%,18.2%,75.0%,4.5%,2.03,66.7%,70.6%,33.3%,17.6%,2.45,26.3%
2024 Indian Wells R32,L vs Dimitrov,44.7%,33.3%,6.4%,1/2,-,40.9%,29.2%,42.9%,4.2%,-,64.0%,66.7%,28.6%,9.5%,-,10.5%
2024 Indian Wells R64,W vs Machac,66.7%,67.6%,7.8%,0/4,-,10.3%,58.6%,64.7%,6.9%,-,15.0%,89.5%,70.6%,10.5%,-,5.3%
2024 Dallas SF,L vs Giron,68.3%,28.6%,7.3%,2/1,-,4.8%,67.9%,21.1%,3.6%,-,8.0%,69.2%,44.4%,15.4%,-,0.0%
2024 Australian Open R16,L vs Djokovic,50.7%,34.3%,4.3%,1/2,2.45,9.3%,45.8%,40.9%,0.0%,2.32,18.2%,81.3%,23.1%,18.8%,2.60,0.0%
2024 Australian Open R32,W vs Shelton,67.4%,53.3%,9.0%,12/4,2.66,11.3%,65.6%,50.0%,8.6%,2.66,17.4%,78.3%,61.1%,10.9%,2.64,0.0%
2024 Australian Open R128,W vs Wawrinka,65.9%,61.5%,3.6%,3/2,2.49,46.8%,48.6%,52.9%,2.9%,2.54,59.1%,83.8%,66.7%,4.4%,2.43,31.4%
2024 United Cup SF,L vs Hurkacz,58.6%,38.2%,10.3%,2/4,2.24,19.0%,44.4%,31.3%,2.8%,2.18,26.3%,81.8%,44.4%,22.7%,2.35,5.0%
Career (96 matches),,64.8%,48.4%,4.2%,42.3%,2.31,18.6%,58.6%,44.0%,2.7%,2.30,27.4%,82.7%,53.9%,7.2%,2.34,6.5%
