Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,17,Hard,34,17,17,50.0%,17,6,11,35.3%,2009,2026,R16,34,0.97,6.7%,3.3%,59.8%,69.7%,49.9%,61.7%,37.0%,56.2%,41.5%
Roland Garros,19,Clay,25,6,19,24.0%,8,2,6,25.0%,2006,2025,R64,23,0.80,3.7%,3.1%,59.9%,61.7%,47.6%,56.0%,35.3%,51.0%,40.6%
Wimbledon,16,Grass,41,25,16,61.0%,19,11,8,57.9%,2009,2025,R16,37,1.03,7.1%,2.7%,63.2%,71.0%,53.7%,64.6%,36.5%,66.0%,38.5%
US Open,17,Hard,40,23,17,57.5%,18,8,10,44.4%,2009,2025,R16,38,1.00,6.6%,3.3%,57.4%,70.3%,51.5%,62.3%,37.7%,61.1%,41.6%
Davis Cup,5,,10,8,2,80.0%,6,3,3,50.0%,2018,2024,,8,1.13,7.8%,2.0%,65.4%,70.7%,57.9%,66.3%,38.2%,61.7%,34.8%
Miami Masters,13,Hard,27,14,13,51.9%,14,7,7,50.0%,2011,2026,R16,27,1.00,6.1%,2.4%,60.3%,70.0%,51.6%,62.7%,37.2%,56.2%,39.9%
Indian Wells Masters,13,Hard,24,11,13,45.8%,9,2,7,22.2%,2011,2026,R16,24,0.99,4.2%,3.2%,59.7%,69.0%,51.9%,62.1%,37.4%,66.5%,40.1%
Acapulco,12,Hard,16,4,12,25.0%,3,2,1,66.7%,2014,2026,R16,16,0.91,5.1%,4.7%,57.3%,67.5%,47.5%,59.0%,37.2%,52.5%,46.5%
Dallas,5,Hard,12,7,5,58.3%,6,4,2,66.7%,2022,2026,SF,11,1.08,14.7%,1.6%,63.5%,78.1%,51.2%,68.3%,34.4%,60.5%,43.1%
Montpellier,8,Hard,20,12,8,60.0%,10,3,7,30.0%,2010,2026,F,20,1.04,9.4%,2.6%,60.7%,75.7%,52.2%,66.5%,34.9%,61.5%,46.7%
Auckland,9,Hard,24,14,10,58.3%,7,3,4,42.9%,2011,2026,F,24,1.13,7.0%,3.7%,59.1%,71.6%,53.5%,64.2%,40.4%,56.8%,44.7%
