Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Manerbio CH R16,W vs Cerundolo,50% (4/8),75% (3/4),0/0,22% (2/9),100% (2/2),2/2,1/1,0/0,1/1,0/0
2019 Segovia CH R32,L vs Gomez Herrera,36% (5/14),80% (4/5),0/4,46% (6/13),33% (2/6),2/2,0/0,1/1,0/0,1/1
2019 Wimbledon R128,L vs Karlovic,0% (0/16),- (0/0),0/2,13% (2/16),0% (0/2),0/0,0/0,1/1,0/0,0/0
2019 Barletta CH R32,W vs Sinner,40% (4/10),100% (4/4),1/2,18% (2/11),0% (0/2),3/3,1/1,1/1,1/1,0/0
2019 Villena CH R32,L vs Taberner,33% (5/15),60% (3/5),1/6,43% (6/14),0% (0/6),2/2,0/0,2/2,0/0,1/1
2019 Marbella CH R16,L vs Vesely,33% (3/9),33% (1/3),1/4,67% (6/9),33% (2/6),1/1,0/0,1/1,0/0,0/0
2019 Marbella CH R32,W vs Gimeno Traver,56% (5/9),80% (4/5),2/2,40% (4/10),50% (2/4),4/4,2/2,0/0,1/1,0/0
2019 Phoenix CH R32,L vs Andreozzi,29% (4/14),75% (3/4),1/6,64% (9/14),22% (2/9),1/3,0/0,1/2,0/0,0/1
2019 Phoenix CH R64,W vs Laaksonen,75% (6/8),83% (5/6),1/1,13% (1/8),0% (0/1),4/4,1/1,0/0,0/0,0/0
2019 Indian Wells CH R64,L vs Zopp,33% (3/9),33% (1/3),0/4,44% (4/9),0% (0/4),1/1,0/0,2/2,0/0,0/0
2019 New York Q1,W vs Watanuki,47% (7/15),57% (4/7),1/3,44% (7/16),57% (4/7),3/3,1/1,0/0,1/1,0/0
2019 Sofia Q1,L vs Gerasimov,18% (2/11),50% (1/2),1/2,20% (2/10),0% (0/2),1/1,0/0,1/1,0/0,0/0
2019 Rennes CH R16,L vs Maden,18% (2/11),50% (1/2),1/2,36% (4/11),50% (2/4),1/1,0/0,1/1,0/0,0/0
2019 Rennes CH R32,W vs Lestienne,33% (5/15),60% (3/5),1/2,38% (6/16),50% (3/6),3/3,1/1,3/4,1/1,3/3
2019 Rennes CH R64,W vs Gerasimov,50% (6/12),67% (4/6),0/2,31% (4/13),50% (2/4),3/4,2/2,0/0,1/1,0/0
2019 Koblenz CH R32,L vs Kotov,45% (5/11),60% (3/5),2/5,45% (5/11),0% (0/5),2/3,0/0,0/0,0/0,0/0
2018 Biella CH R16,L vs Monteiro,25% (2/8),100% (2/2),0/5,88% (7/8),14% (1/7),0/2,0/0,0/1,0/0,0/0
2018 Genova CH R32,L vs Hurkacz,42% (5/12),80% (4/5),2/4,58% (7/12),29% (2/7),2/4,1/1,1/2,0/0,0/1
2018 Portoroz CH R16,W vs Kamke,33% (4/12),75% (3/4),0/2,46% (6/13),50% (3/6),2/2,1/1,0/1,1/1,0/0
2018 Segovia CH QF,W vs Brands,20% (3/15),67% (2/3),0/2,19% (3/16),33% (1/3),1/2,1/1,3/3,0/0,2/2
2019 (16 matches),,35.3%,66.7%,27.7%,36.8%,30.0%,89.2%,100.0%,87.5%,100.0%,83.3%
2018 (14 matches),,28.9%,58.1%,7.7%,44.7%,35.3%,66.7%,83.3%,73.7%,100.0%,57.1%
2017 (17 matches),,24.2%,57.4%,22.2%,40.7%,32.9%,79.2%,85.7%,70.4%,66.7%,60.0%
2016 (27 matches),,23.3%,66.2%,20.0%,37.0%,32.8%,69.8%,71.4%,69.7%,83.3%,52.6%
2015 (17 matches),,25.1%,60.4%,13.0%,41.8%,33.7%,78.6%,88.9%,77.3%,100.0%,69.2%
Career (134 matches),,26.7%,64.2%,17.9%,38.9%,30.6%,76.3%,84.5%,70.2%,90.3%,59.0%
