Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2023,627,53,,,,,,,,,,,,
2021,80,829,47,1814,44,1767,46,1743,26,1736,,,,
2020,81,825,30,1826,23,1811,34,1748,,,,,,
2019,91,610,52,1794,31,1802,,,36,1700,,,,
2018,6,4710,8,2016,8,1953,8,1915,8,1879,271,180,,
2017,14,2480,28,1898,30,1825,29,1832,22,1775,284,205,,
2016,67,735,43,1821,41,1772,58,1725,40,1716,,,,
2015,12,2475,13,1979,16,1914,21,1867,11,1861,98,810,44,1719
2014,16,2080,22,1898,22,1844,26,1838,22,1765,58,1250,31,1767
2013,20,1685,33,1862,31,1803,27,1841,43,1704,347,180,,
2012,37,1065,38,1854,32,1809,40,1778,44,1690,91,875,70,1660
2011,32,1235,26,1909,21,1859,48,1772,41,1701,110,720,61,1667
2010,61,813,63,1780,47,1748,89,1646,71,1604,259,248,,
2009,161,312,170,1580,152,1552,169,1530,126,1513,171,388,,
2008,104,464,124,1657,95,1644,170,1536,113,1533,142,408,,
2007,221,185,220,1516,182,1493,,,,,398,129,,
2006,517,51,,,,,,,,,530,75,,
2005,766,18,,,,,,,,,1463,4,,
2004,665,24,,,,,,,,,1085,14,,
2003,1179,3,,,,,,,,,902,21,,
