Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2022 Miami R64,L vs Cerundolo,4.4,3.2,5.4,54.4%,52.4%,33.3%,45.5%,51.9%,8.3%,-3.0,-1.9,-5.0,-3.5
2021 Newport F,W vs Brooksby,3.1,3.1,3.0,53.1%,48.3%,50.0%,42.9%,49.1%,16.9%,3.5,4.3,6.5,9.0
2019 Wimbledon R32,L vs Pella,3.7,2.8,4.4,50.0%,44.9%,28.6%,66.7%,60.1%,18.3%,20.0,11.6,-5.5,-5.7
2019 Miami QF,L vs Federer,4.0,4.5,3.3,38.2%,48.0%,53.8%,36.4%,46.7%,18.6%,-6.0,-7.1,-3.5,-4.4
2019 Australian Open R64,L vs Tiafoe,3.5,3.8,3.3,50.6%,49.1%,42.9%,18.8%,46.9%,20.0%,6.0,4.4,2.5,1.9
2019 Pune F,W vs Karlovic,2.0,2.2,1.8,47.9%,57.1%,83.3%,-,61.6%,18.8%,16.0,21.6,18.5,47.4
2019 Pune SF,W vs Simon,4.0,3.8,4.3,59.8%,43.3%,46.2%,50.0%,59.9%,8.8%,0.5,0.4,-1.5,-1.8
2018 Tour Finals SF,L vs Djokovic,3.7,4.0,3.2,43.3%,37.5%,14.3%,12.5%,53.5%,19.4%,-7.5,-9.7,-6.0,-11.3
2018 Tour Finals RR,L vs Federer,3.6,3.8,3.4,52.4%,25.0%,12.5%,50.0%,50.6%,20.8%,-5.0,-6.5,-2.5,-4.2
2018 Tour Finals RR,W vs Nishikori,3.5,2.4,4.3,70.4%,63.2%,25.0%,62.5%,47.6%,7.7%,8.0,13.6,4.5,7.5
2018 Tour Finals RR,W vs Thiem,3.4,3.1,3.8,57.1%,41.7%,20.0%,72.7%,49.2%,17.9%,5.5,6.4,-1.5,-1.9
2018 Vienna F,W vs Nishikori,3.4,3.0,3.8,55.2%,50.0%,33.3%,60.0%,40.8%,18.9%,0.0,0.0,-1.0,-1.0
2018 US Open R16,L vs Thiem,3.8,4.0,3.5,47.5%,33.3%,57.1%,31.3%,53.6%,17.2%,3.5,2.7,-6.0,-6.1
2018 US Open R32,W vs Shapovalov,3.1,3.0,3.2,55.4%,42.9%,50.0%,41.7%,41.0%,16.6%,1.0,0.8,-3.5,-2.2
2018 Canada SF,L vs Tsitsipas,3.5,3.5,3.5,50.7%,60.4%,36.8%,27.3%,57.4%,19.2%,15.5,9.9,3.0,2.9
2018 Canada R16,W vs Ivashka,2.8,2.5,3.1,55.2%,61.1%,50.0%,50.0%,56.2%,19.3%,2.0,2.9,5.0,10.9
2018 Wimbledon F,L vs Djokovic,3.7,3.7,3.8,43.0%,43.8%,45.5%,35.3%,56.6%,22.4%,1.0,0.7,-5.0,-5.6
2018 Wimbledon SF,W vs Isner,2.7,3.0,2.4,52.1%,48.4%,68.0%,58.8%,53.8%,21.8%,52.5,20.8,23.5,13.4
2018 Wimbledon QF,W vs Federer,3.0,3.1,2.9,51.1%,51.9%,22.2%,38.9%,51.9%,23.0%,21.0,9.9,-4.5,-2.9
2018 Madrid SF,L vs Thiem,3.6,4.3,2.5,48.1%,30.0%,25.0%,33.3%,53.3%,7.8%,-4.0,-4.8,-11.5,-16.2
Career (49 matches),,3.5,3.4,3.6,51.5%,48.0%,43.0%,42.7%,52.8%,16.6%,5.5,4.7,-0.8,-0.9
