Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,5,10,33.3%,13-20,39.4%,144-164,46.8%,0-2,0.0%,11,59.0%,37.8%,4.5%,5.4%,60.2%,60.1%,43.7%,53.6%,45.0%,49.0%,0.97
vs Righties,6,1,5,16.7%,3-10,23.1%,49-68,41.9%,0-1,0.0%,5,55.1%,34.0%,2.8%,4.9%,58.3%,55.6%,43.7%,50.6%,44.2%,47.1%,0.90
