Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Ostrava F,W vs Korpatsch,58.0%,70.2%,0.0%,0/0,2.39,4.2%,56.6%,70.0%,0.0%,2.43,6.5%,65.4%,70.6%,0.0%,2.31,0.0%
2025 Tokyo R32,L vs Lys,62.3%,46.5%,2.9%,1/1,2.52,0.0%,90.6%,48.3%,0.0%,2.22,0.0%,77.8%,42.9%,11.1%,2.94,0.0%
2025 Osaka R16,L vs Cirstea,56.8%,56.0%,6.8%,2/1,2.40,5.4%,54.5%,66.7%,0.0%,2.41,8.3%,65.0%,46.2%,15.0%,2.37,0.0%
2025 Beijing R64,L vs Anisimova,66.7%,50.0%,13.3%,6/2,2.54,3.6%,70.6%,50.0%,17.6%,2.60,4.5%,66.7%,50.0%,8.3%,2.28,0.0%
2025 BJK Cup Finals RR,W vs Uchijima,65.2%,73.3%,0.0%,0/0,2.05,19.2%,64.0%,68.8%,0.0%,2.15,29.4%,77.8%,78.6%,0.0%,1.86,0.0%
2025 Wimbledon R64,L vs Sierra,56.5%,56.3%,9.4%,5/3,2.96,8.3%,66.7%,50.0%,9.3%,2.86,12.9%,50.0%,75.0%,12.5%,3.14,0.0%
2025 Nottingham R16,W vs Kartal,66.0%,53.0%,1.0%,0/1,2.34,43.3%,64.4%,53.2%,1.4%,2.28,74.3%,79.2%,52.6%,0.0%,2.44,0.0%
2025 Madrid R64,L vs Paolini,81.3%,38.5%,2.1%,0/1,2.67,3.8%,81.8%,40.7%,3.0%,2.61,5.3%,92.3%,33.3%,0.0%,2.83,0.0%
2025 BJK Cup Qualifiers RR,L vs Lamens,65.4%,44.1%,3.8%,1/1,2.34,8.0%,68.6%,45.8%,5.7%,2.45,13.3%,71.4%,40.0%,0.0%,2.19,0.0%
2025 BJK Cup Qualifiers RR,W vs Maria,71.2%,63.5%,1.4%,1/0,2.38,100.0%,67.5%,59.3%,0.0%,2.48,100.0%,80.6%,68.0%,3.2%,2.17,100.0%
2025 Miami R128,L vs Stearns,67.9%,52.6%,7.1%,3/1,2.47,2.9%,61.3%,47.4%,6.5%,2.28,4.8%,86.4%,57.9%,9.1%,2.78,0.0%
2025 United Cup QF,L vs Swiatek,69.6%,53.5%,3.9%,2/2,2.29,5.3%,65.7%,45.7%,0.0%,2.14,9.5%,83.3%,68.0%,13.3%,2.48,0.0%
2025 United Cup RR,W vs Gadecki,64.7%,72.7%,5.9%,1/2,2.84,41.7%,58.3%,78.6%,8.3%,2.94,62.5%,82.6%,68.4%,4.3%,2.64,0.0%
2024 Hong Kong F,L vs Shnaider,61.4%,40.7%,2.3%,0/1,2.49,18.6%,65.6%,38.1%,0.0%,2.63,33.3%,54.5%,50.0%,9.1%,2.31,0.0%
2024 Tokyo SF,L vs Kenin,76.3%,40.0%,1.7%,0/1,2.15,29.3%,76.7%,36.4%,2.3%,2.13,45.0%,75.0%,50.0%,0.0%,2.17,14.3%
2024 Tokyo QF,W vs Andreescu,65.9%,75.9%,2.3%,1/0,2.24,5.3%,75.9%,72.7%,0.0%,2.03,8.3%,58.3%,85.7%,8.3%,2.59,0.0%
2024 Toronto R16,L vs Sabalenka,67.6%,39.1%,8.8%,4/2,2.38,12.9%,75.8%,40.0%,6.1%,2.16,11.8%,67.7%,38.1%,12.9%,2.64,14.3%
2024 Nottingham F,W vs Pliskova,69.6%,56.3%,5.4%,3/2,2.75,15.2%,73.8%,48.9%,3.3%,2.69,35.0%,79.2%,73.7%,12.5%,2.80,0.0%
2024 Rome R64,L vs Sramkova,81.2%,48.8%,5.0%,3/2,2.22,1.9%,78.7%,47.9%,3.3%,2.32,0.0%,87.2%,50.0%,7.7%,2.12,3.8%
2024 San Diego F,W vs Kostyuk,67.9%,58.2%,1.2%,1/0,2.45,4.2%,79.2%,52.4%,0.0%,2.42,7.7%,65.0%,76.9%,5.0%,2.48,0.0%
Last 52 Weeks (10 matches),,64.4%,55.2%,4.0%,61.5%,2.46,24.4%,67.8%,54.0%,3.7%,2.47,31.4%,71.7%,57.2%,5.2%,2.44,11.6%
Career (38 matches),,65.7%,55.0%,5.7%,62.7%,2.43,15.1%,65.4%,51.4%,4.0%,2.40,22.7%,77.6%,60.5%,9.8%,2.48,4.1%
