Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Ostrava F,W vs Korpatsch,0.0%,-,7.4%,72.7%,18.0%,18.5%,40.0%,6.9%,14.3%,1.3%,100.0%,96,64
2025 Tokyo R32,L vs Lys,0.0%,-,2.7%,100.0%,20.8%,20.0%,0.0%,6.3%,0.0%,1.4%,50.0%,27,8
2025 Osaka R16,L vs Cirstea,0.0%,-,9.8%,55.6%,18.9%,25.0%,0.0%,12.1%,50.0%,1.7%,0.0%,94,64
2025 Beijing R64,L vs Anisimova,0.0%,-,1.8%,100.0%,11.8%,44.4%,0.0%,8.7%,40.0%,1.0%,100.0%,22,63
2025 BJK Cup Finals RR,W vs Uchijima,0.0%,-,10.9%,90.0%,21.7%,30.0%,0.0%,4.3%,14.3%,0.0%,-,90,115
2025 Wimbledon R64,L vs Sierra,0.0%,-,1.1%,50.0%,12.5%,19.2%,100.0%,12.2%,36.4%,0.6%,0.0%,115,147
2025 Nottingham R16,W vs Kartal,1.1%,0.0%,11.4%,68.2%,14.7%,22.6%,12.5%,6.0%,20.0%,3.1%,44.4%,96,94
2025 Madrid R64,L vs Paolini,2.9%,0.0%,4.8%,0.0%,13.0%,12.5%,0.0%,12.5%,40.0%,1.7%,0.0%,30,41
2025 BJK Cup Qualifiers RR,L vs Lamens,0.0%,-,7.7%,66.7%,15.8%,18.2%,28.6%,6.5%,23.1%,2.4%,0.0%,75,63
2025 BJK Cup Qualifiers RR,W vs Maria,0.0%,-,17.4%,79.2%,23.1%,23.1%,11.8%,8.3%,40.0%,4.7%,50.0%,211,178
2025 Miami R128,L vs Stearns,0.0%,-,2.7%,100.0%,6.5%,5.0%,0.0%,7.5%,12.5%,0.7%,0.0%,95,109
2025 United Cup QF,L vs Swiatek,0.0%,-,6.8%,42.9%,14.8%,19.0%,0.0%,8.6%,24.2%,0.8%,33.3%,43,27
2025 United Cup RR,W vs Gadecki,0.0%,-,3.2%,100.0%,28.9%,40.0%,50.0%,35.0%,50.0%,0.0%,-,176,161
2024 Hong Kong F,L vs Shnaider,1.9%,0.0%,12.1%,58.3%,14.0%,31.3%,0.0%,9.5%,14.3%,0.8%,0.0%,49,24
2024 Tokyo SF,L vs Kenin,0.0%,-,9.0%,72.7%,22.7%,25.0%,50.0%,17.8%,30.8%,1.1%,0.0%,4,34
2024 Tokyo QF,W vs Andreescu,0.0%,-,10.8%,88.9%,40.0%,42.1%,0.0%,16.7%,33.3%,0.0%,-,134,161
2024 Toronto R16,L vs Sabalenka,0.0%,-,4.1%,60.0%,30.2%,46.7%,100.0%,11.1%,14.3%,1.7%,50.0%,45,74
2024 Nottingham F,W vs Pliskova,0.0%,-,6.0%,80.0%,18.6%,20.5%,50.0%,8.0%,20.0%,3.1%,28.6%,58,74
2024 Rome R64,L vs Sramkova,0.0%,-,6.3%,81.8%,17.7%,23.5%,50.0%,4.2%,4.5%,1.2%,50.0%,40,45
2024 San Diego F,W vs Kostyuk,0.0%,-,6.1%,72.7%,18.5%,22.6%,33.3%,4.7%,12.5%,0.6%,50.0%,51,59
Last 52 Weeks (10 matches),,0.3%,0.0%,7.6%,70.8%,17.4%,22.4%,20.5%,8.0%,25.0%,2.0%,40.0%,93,89
Career (38 matches),,0.2%,25.0%,7.5%,73.3%,18.4%,23.8%,26.9%,10.2%,22.4%,1.3%,33.0%,72,70
