Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2015 Bogota SF,L vs Tomic,54.1%,59.1%,7.4%,3/6,1.39,10.0%,48.9%,57.8%,6.5%,1.47,11.1%,77.8%,61.9%,11.1%,1.17,8.3%
2015 Stuttgart Q3,L vs Brown,52.6%,42.5%,9.2%,3/4,2.28,36.8%,53.8%,35.7%,9.6%,2.29,25.0%,80.0%,58.3%,13.3%,2.25,70.0%
2015 Doha R32,W vs Nadal,84.7%,36.1%,5.6%,2/2,2.01,0.0%,83.3%,35.0%,8.3%,2.09,0.0%,91.3%,38.1%,0.0%,1.71,0.0%
2011 Brisbane R16,L vs Soderling,60.8%,44.4%,2.7%,2/0,2.24,0.0%,55.8%,41.4%,3.8%,2.54,0.0%,76.2%,50.0%,0.0%,1.87,0.0%
2010 Monte Carlo R16,L vs Nadal,78.9%,26.7%,0.0%,0/0,2.00,0.0%,77.8%,28.6%,0.0%,1.96,0.0%,90.0%,22.2%,0.0%,2.04,0.0%
Career (5 matches),,63.4%,43.8%,5.8%,45.5%,2.04,8.6%,60.1%,41.7%,6.3%,2.12,7.3%,82.3%,48.1%,5.2%,1.87,11.0%
