Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2016,17,9,8,52.9%,22-20,52.4%,210-205,50.6%,3-3,50.0%,17,77.3%,23.3%,8.1%,4.6%,63.4%,70.9%,49.8%,63.2%,37.5%,50.2%,1.02,W (Leon)
2015,18,12,6,66.7%,27-18,60.0%,232-222,51.1%,10-1,90.9%,18,79.5%,21.1%,7.4%,2.7%,64.9%,72.0%,52.5%,65.2%,37.6%,51.0%,1.08,F (Andria)
2014,35,22,13,62.9%,47-35,57.3%,427-399,51.7%,11-8,57.9%,35,84.6%,18.2%,8.5%,3.8%,66.8%,72.3%,54.4%,66.4%,35.2%,50.6%,1.05,F (2x)
2013,28,18,10,64.3%,40-21,65.6%,318-260,55.0%,3-3,50.0%,28,86.9%,23.3%,8.0%,4.6%,63.9%,76.3%,55.8%,68.9%,37.3%,52.5%,1.20,W (2x)
2012,13,6,7,46.2%,14-15,48.3%,139-133,51.1%,1-1,50.0%,13,84.7%,17.0%,10.6%,4.5%,64.3%,73.8%,53.4%,66.5%,34.6%,50.8%,1.03,SF (Bath)
2011,9,6,3,66.7%,14-9,60.9%,128-108,54.2%,4-3,57.1%,9,87.8%,20.2%,9.8%,3.7%,68.2%,73.5%,58.8%,68.8%,37.0%,52.1%,1.19,QF (3x)
2010,8,7,1,87.5%,15-3,83.3%,111-81,57.8%,3-1,75.0%,8,93.8%,19.6%,8.4%,3.1%,67.5%,74.6%,67.7%,72.4%,37.1%,54.4%,1.34,W (Heilbronn)
2009,36,23,13,63.9%,47-33,58.8%,422-375,52.9%,5-7,41.7%,0,,,,,,,,,,,,W (3x)
2008,23,13,10,56.5%,32-25,56.1%,302-265,53.3%,8-4,66.7%,0,,,,,,,,,,,,SF (3x)
2007,41,30,11,73.2%,63-33,65.6%,533-445,54.5%,11-11,50.0%,0,,,,,,,,,,,,W (Heilbronn)
2006,36,23,13,63.9%,51-37,58.0%,448-395,53.1%,5-6,45.5%,0,,,,,,,,,,,,W (Helsinki)
2005,53,33,20,62.3%,73-52,58.4%,644-584,52.4%,11-11,50.0%,0,,,,,,,,,,,,W (2x)
2004,35,19,16,54.3%,46-42,52.3%,437-437,50.0%,8-7,53.3%,0,,,,,,,,,,,,SF (3x)
2003,6,3,3,50.0%,5-7,41.7%,51-66,43.6%,2-0,100.0%,0,,,,,,,,,,,,QF (Aachen)
2002,13,5,8,38.5%,12-18,40.0%,127-157,44.7%,2-0,100.0%,0,,,,,,,,,,,,QF (Hamburg)
2001,9,4,5,44.4%,9-10,47.4%,93-91,50.5%,1-1,50.0%,0,,,,,,,,,,,,QF (Hamburg)
2000,3,1,2,33.3%,3-4,42.9%,32-35,47.8%,1-0,100.0%,0,,,,,,,,,,,,R16 (Eckental)
1999,3,1,2,33.3%,2-5,28.6%,28-38,42.4%,0-0,-,0,,,,,,,,,,,,R16 (Eckental)
1998,2,1,1,50.0%,2-2,50.0%,22-19,53.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (Alpirsbach)
Career,388,236,152,60.8%,524-389,57.4%,4704-4315,52.2%,89-68,56.7%,128,84.1%,20.5%,8.5%,3.9%,65.4%,73.2%,54.7%,66.8%,36.5%,51.4%,1.10,
