Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2021 Indian Wells R128,L vs Siniakova,19.2%,31.5%,44.0%,24.4%,42.2%,47.1%,70.0%,36.0%,50.0%,15.8%,21.1%,37.5%,50.0%,11.1%,0.0%,5
2021 Chicago R64,L vs Hsieh,14.5%,24.5%,49.4%,15.3%,27.8%,50.8%,41.2%,26.3%,27.3%,17.2%,24.1%,45.8%,35.7%,6.7%,16.7%,33
2020 Monterrey R32,L vs Konta,24.0%,40.0%,47.2%,31.8%,52.3%,53.3%,42.9%,43.5%,100.0%,14.8%,25.9%,39.1%,41.7%,40.0%,0.0%,30
2020 Dubai R32,L vs Muguruza,12.9%,25.9%,50.8%,15.3%,32.2%,50.0%,32.0%,20.6%,30.0%,13.3%,20.0%,53.8%,28.6%,12.5%,0.0%,-27
2012 Olympics QF,L vs Sharapova,24.3%,28.6%,38.8%,32.1%,37.7%,38.9%,54.2%,24.1%,60.0%,0.0%,0.0%,38.5%,14.3%,16.7%,-,-119
2012 Australian Open SF,L vs Azarenka,13.1%,22.6%,55.9%,15.1%,26.4%,64.4%,70.8%,24.1%,50.0%,11.5%,19.2%,39.1%,8.3%,0.0%,0.0%,-7
2012 Australian Open QF,W vs Wozniacki,16.1%,29.0%,52.9%,18.6%,37.2%,65.7%,88.9%,40.0%,25.0%,11.1%,11.1%,25.0%,66.7%,22.2%,-,-40
2012 Australian Open R16,W vs Li,31.8%,33.6%,40.3%,40.0%,42.9%,50.0%,66.7%,43.2%,60.0%,19.4%,19.4%,24.0%,53.8%,22.2%,0.0%,68
2011 Paris F,L vs Kvitova,32.3%,37.1%,36.8%,39.5%,47.4%,43.5%,53.3%,52.2%,57.1%,25.0%,25.0%,26.7%,36.4%,22.2%,100.0%,97
2011 Australian Open F,W vs Li,19.8%,30.2%,48.5%,19.6%,35.7%,57.8%,55.6%,31.0%,57.1%,22.2%,22.2%,28.6%,25.0%,13.3%,0.0%,17
2011 Australian Open SF,W vs Zvonareva,14.3%,22.4%,67.5%,12.5%,25.0%,75.0%,50.0%,33.3%,-,20.0%,20.0%,50.0%,37.5%,42.9%,100.0%,38
2011 Australian Open QF,W vs Radwanska,16.4%,29.9%,56.0%,18.2%,38.6%,58.3%,62.5%,50.0%,33.3%,17.6%,17.6%,50.0%,8.3%,20.0%,0.0%,31
2011 Sydney F,L vs Li,24.0%,37.3%,42.0%,30.2%,49.1%,43.2%,44.0%,17.9%,25.0%,13.3%,13.3%,38.5%,0.0%,0.0%,0.0%,-14
2011 Sydney QF,W vs Azarenka,26.4%,38.9%,53.3%,34.8%,54.3%,66.7%,60.9%,26.1%,30.0%,16.7%,16.7%,26.7%,33.3%,0.0%,-,14
2010 WTA Championships SF,W vs Stosur,33.3%,44.4%,57.5%,36.4%,47.7%,57.1%,63.2%,36.0%,50.0%,29.4%,41.2%,58.3%,28.6%,40.0%,-,23
2010 WTA Championships F,W vs Wozniacki,20.8%,35.4%,52.8%,26.7%,46.7%,54.5%,69.7%,44.4%,0.0%,12.5%,18.8%,50.0%,36.4%,9.5%,20.0%,9
2010 WTA Championships RR,W vs Jankovic,32.8%,43.8%,60.6%,45.0%,60.0%,63.6%,46.2%,59.3%,0.0%,21.4%,28.6%,54.5%,40.0%,25.0%,0.0%,25
2010 US Open F,W vs Zvonareva,8.3%,18.8%,73.8%,8.1%,18.9%,76.5%,73.3%,36.4%,50.0%,11.1%,22.2%,62.5%,25.0%,20.0%,-,-14
2010 US Open SF,W vs Williams,14.9%,24.8%,61.7%,14.5%,23.2%,66.1%,64.5%,34.2%,50.0%,18.5%,33.3%,50.0%,27.3%,31.3%,0.0%,61
2010 Cincinnati F,W vs Sharapova,22.4%,30.8%,52.1%,26.2%,41.0%,55.6%,60.0%,50.0%,57.1%,22.2%,22.2%,46.4%,36.8%,35.3%,50.0%,81
Career (72 matches),,20.7%,29.4%,51.0%,24.2%,35.8%,53.7%,62.7%,40.9%,40.0%,17.4%,21.6%,45.4%,48.4%,22.8%,15.2%,48
