Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,8,4,66.7%,17-9,65.4%,133-98,57.6%,1-1,50.0%,12,70.5%,45.3%,1.3%,3.6%,71.6%,63.8%,48.5%,59.5%,48.1%,53.3%,1.19,F (2x)
2025,26,16,10,61.5%,35-26,57.4%,289-239,54.7%,1-4,20.0%,24,55.6%,51.0%,1.1%,2.1%,77.4%,55.0%,43.5%,52.4%,50.5%,51.4%,1.06,F (W15 Antalya)
2024,19,9,10,47.4%,21-20,51.2%,188-199,48.6%,6-0,100.0%,2,42.1%,26.3%,0.0%,0.0%,78.7%,47.9%,42.3%,46.7%,37.8%,42.3%,0.71,F (W35 Antalya)
2023,48,24,24,50.0%,52-54,49.1%,472-463,50.5%,2-4,33.3%,3,46.7%,58.6%,0.0%,3.3%,80.6%,51.8%,31.7%,47.9%,52.8%,50.2%,1.01,SF (2x)
2022,54,32,22,59.3%,63-49,56.3%,522-467,52.8%,6-2,75.0%,0,,,,,,,,,,,,F (W15 Antalya)
2021,23,10,13,43.5%,21-27,43.8%,202-211,48.9%,0-2,0.0%,0,,,,,,,,,,,,QF (4x)
2020,27,16,11,59.3%,36-31,53.7%,295-290,50.4%,0-2,0.0%,0,,,,,,,,,,,,F (2x)
2019,44,23,21,52.3%,51-48,51.5%,444-442,50.1%,3-6,33.3%,0,,,,,,,,,,,,W (W15 Tabarka)
2018,37,16,21,43.2%,34-46,42.5%,337-387,46.5%,3-2,60.0%,0,,,,,,,,,,,,W (Bergamo $15K)
2017,53,34,19,64.2%,72-50,59.0%,591-509,53.7%,5-6,45.5%,0,,,,,,,,,,,,W (2x)
2016,16,10,6,62.5%,23-15,60.5%,195-165,54.2%,1-2,33.3%,0,,,,,,,,,,,,SF (Rome $25K)
2014,16,8,8,50.0%,17-20,45.9%,159-177,47.3%,1-2,33.3%,0,,,,,,,,,,,,F (Le Havre 10K)
2013,10,6,4,60.0%,12-10,54.5%,100-89,52.9%,0-1,0.0%,0,,,,,,,,,,,,QF (2x)
2012,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Bagnatica 10K)
Career,386,212,174,54.9%,454-407,52.7%,3930-3748,51.2%,29-34,46.0%,41,58.5%,48.8%,1.0%,2.5%,76.2%,56.6%,44.2%,53.6%,49.4%,51.5%,1.06,
