Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Olympics BR,L vs Swiatek,18.6%,23.3%,31.3%,19.2%,26.9%,28.6%,23.1%,61.5%,50.0%,21.4%,21.4%,36.4%,0.0%,50.0%,66.7%,84
2024 Olympics SF,L vs Vekic,25.5%,36.2%,32.3%,37.0%,48.1%,35.3%,28.6%,23.1%,100.0%,12.5%,25.0%,28.6%,11.1%,42.9%,-,2
2024 Olympics R16,W vs Paolini,22.9%,27.6%,38.2%,28.3%,35.0%,39.5%,40.0%,23.3%,42.9%,17.5%,20.0%,36.4%,33.3%,57.9%,60.0%,30
2024 Australian Open R128,L vs Gauff,8.1%,8.1%,16.1%,11.8%,11.8%,20.0%,44.4%,12.5%,0.0%,5.9%,5.9%,12.5%,40.0%,14.3%,25.0%,-61
2023 Roland Garros R16,L vs Gauff,20.3%,27.5%,36.5%,25.6%,35.9%,41.4%,43.8%,13.0%,0.0%,14.8%,18.5%,30.4%,6.7%,50.0%,80.0%,17
2023 Roland Garros R32,W vs Day,13.0%,25.9%,60.5%,19.4%,29.0%,64.0%,63.6%,35.0%,0.0%,5.3%,26.3%,55.6%,38.5%,33.3%,0.0%,-69
2023 Roland Garros R64,W vs Bolsova,11.3%,21.1%,55.0%,11.1%,24.4%,52.5%,58.3%,42.9%,50.0%,13.0%,17.4%,60.0%,11.1%,35.7%,33.3%,14
2023 Roland Garros R128,W vs Kudermetova,28.3%,32.6%,43.8%,29.6%,37.0%,52.6%,75.0%,40.0%,66.7%,27.8%,27.8%,30.8%,0.0%,55.6%,-,-40
2023 Monterrey R32,W vs Bouzkova,15.2%,31.8%,57.7%,23.1%,43.6%,66.7%,55.6%,14.3%,0.0%,4.3%,17.4%,45.5%,45.5%,16.7%,0.0%,-76
2023 Australian Open R64,L vs Giorgi,23.8%,27.0%,31.8%,31.6%,36.8%,38.5%,36.4%,31.3%,25.0%,14.3%,14.3%,22.2%,25.0%,30.8%,66.7%,19
2022 ITF Trnava SF,W vs Havlickova,40.4%,48.1%,60.0%,50.0%,61.8%,64.7%,42.9%,40.0%,0.0%,23.5%,23.5%,53.8%,28.6%,30.0%,-,-37
2022 Rabat R32,W vs Reyngold,17.3%,26.9%,55.0%,23.1%,33.3%,50.0%,38.1%,27.8%,0.0%,0.0%,10.0%,70.0%,0.0%,28.6%,-,-119
2020 Roland Garros R32,L vs Podoroska,6.6%,8.2%,35.2%,8.9%,11.1%,36.6%,30.4%,63.6%,83.3%,0.0%,0.0%,30.8%,0.0%,71.4%,100.0%,-119
2019 Hobart F,L vs Kenin,10.9%,15.2%,36.1%,16.7%,23.3%,32.0%,58.8%,30.8%,33.3%,0.0%,0.0%,45.5%,16.7%,40.0%,50.0%,-119
2018 Fed Cup RR,L vs Sabalenka,31.7%,33.3%,35.0%,36.6%,39.0%,46.2%,50.0%,28.6%,25.0%,22.2%,22.2%,14.3%,100.0%,30.0%,0.0%,-40
2018 Bogota F,W vs Arruabarrena,12.5%,17.9%,39.1%,19.4%,25.8%,48.0%,21.4%,47.1%,0.0%,4.5%,9.1%,28.6%,9.1%,72.7%,60.0%,-73
2016 Rome R64,L vs Friedsam,16.9%,20.0%,54.0%,13.6%,18.2%,57.9%,42.9%,17.4%,50.0%,29.4%,29.4%,41.7%,0.0%,66.7%,100.0%,126
2016 Indian Wells R64,L vs Puig,11.5%,11.5%,30.8%,12.5%,12.5%,32.1%,26.7%,29.4%,25.0%,15.4%,15.4%,27.3%,37.5%,20.0%,100.0%,-4
2016 Sydney R32,W vs Bacsinszky,15.3%,16.5%,48.4%,17.5%,19.3%,46.8%,34.5%,10.7%,12.5%,16.7%,16.7%,53.3%,37.5%,10.0%,0.0%,5
2016 Brisbane R32,L vs Lepchenko,9.8%,13.1%,44.4%,15.8%,18.4%,53.1%,55.0%,16.7%,0.0%,0.0%,7.7%,23.1%,50.0%,11.1%,0.0%,-119
Career (32 matches),,17.3%,23.1%,45.0%,20.7%,28.0%,47.9%,38.7%,27.8%,30.3%,13.5%,17.4%,39.5%,36.6%,35.0%,42.1%,12
