Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2009,449,73,,,,,,,,,,,,
2008,332,70,,,,,,,,,,,,
2007,210,140,192,1471,201,1398,177,1445,,,,,,
2006,384,49,,,,,,,,,,,,
2005,399,52,,,,,,,,,,,,
2004,220,145,197,1493,205,1422,191,1432,,,,,,
2003,210,130,184,1470,171,1442,182,1420,181,1365,,,,
2002,81,466,87,1718,91,1634,85,1639,117,1508,,,,
2001,148,210,151,1579,152,1506,143,1514,,,,,,
2000,206,115,,,,,,,,,,,,
1999,241,82,,,,,,,,,,,,
1998,231,83,,,,,,,,,,,,
1997,439,24,,,,,,,,,,,,
1996,455,20,,,,,,,,,,,,
1995,357,2,,,,,,,,,,,,
