Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,17,4,13,23.5%,11-28,28.2%,150-208,41.9%,1-3,25.0%,1,-,-,0.0%,4.5%,69.7%,45.7%,30.0%,40.9%,45.6%,43.1%,0.77
Clay,13,3,10,23.1%,9-22,29.0%,115-169,40.5%,1-0,100.0%,2,-,-,1.6%,7.9%,65.1%,56.1%,40.9%,50.8%,41.9%,46.2%,0.85
Grass,2,0,2,0.0%,0-4,0.0%,9-24,27.3%,0-0,-,1,-,-,0.0%,5.1%,69.2%,40.7%,16.7%,33.3%,34.5%,34.0%,0.52
Carpet,5,3,2,60.0%,6-6,50.0%,54-59,47.8%,2-2,50.0%,0,,,,,,,,,,,
Grand Slams,6,0,6,0.0%,1-12,7.7%,46-77,37.4%,0-2,0.0%,3,-,-,1.1%,8.0%,64.8%,50.9%,35.5%,45.5%,40.1%,42.7%,0.74
Premiers,12,4,8,33.3%,9-19,32.1%,95-145,39.6%,0-1,0.0%,1,-,-,0.0%,1.8%,74.5%,48.8%,28.6%,43.6%,43.8%,43.7%,0.78
Internationals,12,3,9,25.0%,9-20,31.0%,118-162,42.1%,3-2,60.0%,0,,,,,,,,,,,
Quarter-finals,2,0,2,0.0%,0-4,0.0%,5-24,17.2%,0-0,-,0,,,,,,,,,,,
vs Righties,27,5,22,18.5%,15-48,23.8%,222-349,38.9%,3-4,42.9%,3,-,-,1.1%,8.0%,64.8%,50.9%,35.5%,45.5%,40.1%,42.7%,0.74
vs Lefties,7,2,5,28.6%,5-11,31.3%,66-83,44.3%,0-1,0.0%,1,-,-,0.0%,1.8%,74.5%,48.8%,28.6%,43.6%,43.8%,43.7%,0.78
vs Top 10,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,
